"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
2399.36,2633.35,4473.25,2895.29,1287.62,990.362,1982.08,2961.92,2084.05,1451.73,2464.17,1761.36,2470.83,843.55,644.985,656.254,321.527,103.2,390.753,849.205,742.365,964.233,1165.54,1956.32,1143.39,1970.17,1634.92,661.476,1231.23,870.903,758.077,498.266,423.788,793.759,1438.59,721.059,1635.24,609.699,1632.76,770.717,1812.61,1366.92,1572.02,681.664,1388.87,2111.36,1969.84,1052.61,1678.68,1778.23,2070.4,1969.84,1321.62,1123.84,820.135,1710.32,535.51,2014.97,505.337,3209.48,2501.53,1182.94,2453.35,2176.58,2069.91,2121.26,1570.02,1097.6
1988.25,3065.69,3934.36,3231.16,1379.34,1132.28,1790.33,3215.24,1869.26,1048.51,2210.08,1930.7,2138.63,910.435,550.333,661.238,458.381,131.11,511.096,824.663,742.192,1113.84,1219.69,2046.03,1168,1990.59,1499.9,808.666,1083.53,856.992,778.071,548.26,378.279,658.049,1025.77,728.283,1677.81,530.939,1410.43,755.364,1893.03,1148.7,1526.93,690.779,1186.58,1861.13,2199.14,1016.69,1321.95,1710.04,2251.18,2054.95,1255.55,1117.44,1035.45,1644.36,429.152,1798.39,464.359,3001.35,1745.8,1105.44,2056.21,2136.45,1765.8,1485.51,1428.45,1548.79
2027.51,3456.45,4272.79,2935.46,1733.37,853.157,1609.82,3589.24,2439.43,1211.23,2304.11,1989.95,1780.92,1358.76,475.245,816.047,464.256,172.125,589.647,904.035,961.575,1177.38,1412.38,2255.29,1415.23,2143.55,1469.97,855.738,1411.43,880.478,737.31,622.786,399.141,684.35,1364.66,738.096,1816.33,625.983,1470.5,808.041,1732.05,1365.43,1715.1,776.981,1419.35,2047.57,2322.57,1086.13,1514.68,1814.33,2142.53,2357.15,1092.88,1105.35,1037.92,1910.24,421.085,1807.1,459.018,2954.37,2047.75,1119.54,1912.02,1709.73,1425.09,1425.78,1269.29,1315.12
2361.94,3224.22,3667.23,2927.03,1523.53,1056.35,1413.25,3087.39,2142.44,1045.69,2534.48,1838.8,2258.24,870.086,616.889,734.326,316.784,99.1573,475.469,749.828,644.612,961.796,1192.82,1706.02,1100.49,1842.41,1445.09,733.84,1048.73,693.782,679.062,491.291,324.114,611.303,1156.54,685.811,1643.12,505.628,1371.89,766.228,1811.25,1245.19,1471.15,741.662,1212.57,1838.38,1915.32,841.311,1382.89,1670.69,1806.45,1889.92,1041.18,968.174,985.248,1728.7,418.532,1788.75,409.019,2918.18,1863.04,1246.28,1934.71,2118.18,1658.54,1863.37,1432.78,1327.32
3050.92,4484.65,4270.59,2380.63,1781.6,1158.94,1204,2635.67,3152.83,1412.01,2618.22,1852.97,2356.55,938.126,574.343,672.268,322.054,206.969,487.117,806.214,769.969,882.789,1471.1,1822.31,1420.59,2281.98,1551.83,811.299,965.711,858.458,742.803,487.753,431.799,797.874,1200.48,761.254,1716.05,603.682,1666.54,903.978,1734.88,1320.09,1648.69,724.719,1435.18,1931.4,2262.55,1065.2,1393.2,1650.75,2228.26,1811.49,1196.23,1177.21,1094.28,1771.63,554.049,1949.77,431.102,2873.96,2057.49,1178.41,1723.41,1826.83,1367.63,1384.59,1633.64,1499.91
2808.1,3162.94,4899.46,3203.68,1470.76,1118.15,1614.97,3352.95,2349.59,1181.12,2765.63,2227.44,1695.86,1137.91,751.475,586.29,342.404,176.474,490.142,738.716,714.82,1065.01,1385.32,1803.95,1412.13,2206.14,1589.54,822.513,1211.35,831.406,741.283,519.818,435.175,786.033,1107.8,823.104,1954.52,653.886,1694.18,919.097,2047.6,1500.56,1765.26,730.777,1490.62,1878.85,2389.76,1011.84,1563.67,1700.85,2081,2316.37,1200.29,1344.51,1260.17,1822.17,524.225,2088.71,431.783,3190.51,2106.75,1029.46,2035.79,1874.51,1301.25,1296.21,1120.23,865.614
2416.46,3588.56,4639.75,3372.61,1593.58,978.931,1763.18,2892.37,2691.61,1627.33,2840.09,1727.41,2253.23,1042.75,913.563,614.973,234.774,176.808,482.652,773.413,887.754,1106.3,1260.98,2062.75,1383.55,2162.6,1441.67,847.119,1166.62,741.715,728.007,511.549,345.967,725.36,1209.84,690.744,1668.61,633.054,1590.86,906.936,1772.44,1258.01,1846.88,735.953,1596.56,2003.46,2375.71,1070.93,1626.49,1762.71,2095.27,2199.08,1232.13,1338.71,936.128,2085.87,528.564,1949.51,440.833,2981.9,1948.9,1095.22,2294.41,1723.29,1322.24,1055.02,998.041,635.736
2827.7,4295.59,3779.85,3800.34,1760.57,1210.23,1535.95,2872.8,2977.24,1479.18,1707.79,2378.38,2480.92,962.62,574.456,677.355,243.204,196.448,526.588,805.341,728.436,978.016,1371.79,2052.13,1376.78,2194.95,1829.8,792.499,1133.07,765.467,712.595,494.855,359.3,656.318,1306.47,668.889,1670.83,559.715,1642.63,736.636,1892.42,1248.25,1765.49,703.196,1443.63,1946.51,2213.8,997.791,1503.85,1649.01,2292.64,2173.9,1232.83,1160.83,976.904,1923.53,512.716,1991.84,450.609,3171.54,2023.1,1210.74,2097.64,1758.93,1418.32,1510.57,956.581,970.755
3012.87,3367.82,4729.64,3353.06,1880.32,1763.41,1662.86,2731.87,2980.75,1132.42,2461.46,2476.3,2283.19,857.794,672.455,917.728,222.405,90.6213,580.668,873.354,898.605,1089.06,1321.37,2086.52,1179.45,2084.56,1566.97,884.712,1201.59,863.536,831.859,488.66,368.841,725.071,1485.96,764.338,1863.99,660.702,1686.34,876.996,1993.03,1393.49,1685.75,656.745,1517.84,2334.81,2275.82,1161,1476.72,2013.7,2420.3,2269.35,1241.32,1255.48,1138.91,1746.37,494.553,2085.91,388.798,2766.98,2061.12,1081.73,1919.62,1751.01,1464.65,1042.61,1170.02,1581.47
2270.5,4026.97,5090.87,2573.25,1745.4,993.557,1766.6,2912.68,2173.86,1306.77,2835.75,1909.26,1972.36,1116.65,641.294,657.377,368.382,125.744,722.369,766.98,694.773,1011.52,1459.71,1871.47,1328.93,2122.88,1612.32,710.21,1145.98,692.38,676.198,577.712,412.654,653.128,1389.33,672.93,2062.09,658.636,1698.74,835.285,1894.98,1295.77,1708.38,708.449,1440.27,1930.36,2144.62,1088.55,1342.56,1744.78,2296.29,2180.16,1307.4,1252.79,1180.04,1970.11,657.502,2124.34,416.195,2715.15,2118.21,1168.04,2091.97,1892.02,1264.19,1483.7,1192.33,1413.36
