"","parameter","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6","Sim7","Sim8","Sim9","Sim10","Sim11","Sim12"
"70","mp$assess$iscam$priors$sdInitM","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"71","mp$assess$iscam$priors$steepnessBeta1","10","10","10","10","10","10","10","10","10","10","10","10"
"72","mp$assess$iscam$priors$steepnessBeta2","4.92","4.92","4.92","4.92","4.92","4.92","4.92","4.92","4.92","4.92","4.92","4.92"
"73","mp$assess$iscam$priors$logqdensity","c(0,1)","c(0,1)","c(0,1)","c(0,1)","c(0,1)","c(0,1)","c(0,1)","c(0,1)","c(0,1)","c(0,1)","c(0,1)","c(0,1)"
"74","mp$assess$iscam$priors$logqPrior1","c(0,0)","c(0,0)","c(0,0)","c(0,0)","c(0,0)","c(0,0)","c(0,0)","c(0,0)","c(0,0)","c(0,0)","c(0,0)","c(0,0)"
"75","mp$assess$iscam$priors$logqPrior2","c(1,0.01)","c(1,0.01)","c(1,0.01)","c(1,0.01)","c(1,0.01)","c(1,0.01)","c(1,0.01)","c(1,0.01)","c(1,0.01)","c(1,0.01)","c(1,0.01)","c(1,0.01)"
"76","mp$assess$iscam$initPar$logR0","7.28","7.28","7.28","7.28","7.28","7.28","7.28","7.28","7.28","7.28","7.28","7.28"
"77","mp$assess$iscam$initPar$h",".8",".8",".8",".8",".8",".8",".8",".8",".8",".8",".8",".8"
"78","mp$assess$iscam$initPar$logm","-0.6918","-0.6918","-0.6918","-0.6918","-0.6918","-0.6918","-0.6918","-0.6918","-0.6918","-0.6918","-0.6918","-0.6918"
"79","mp$assess$iscam$initPar$logRbar","7.09","7.09","7.09","7.09","7.09","7.09","7.09","7.09","7.09","7.09","7.09","7.09"
"80","mp$assess$iscam$initPar$logRinit","5.97","5.97","5.97","5.97","5.97","5.97","5.97","5.97","5.97","5.97","5.97","5.97"
"81","mp$assess$iscam$initPar$rho","0.413297","0.413297","0.413297","0.413297","0.413297","0.413297","0.413297","0.413297","0.413297","0.413297","0.413297","0.413297"
"82","mp$assess$iscam$initPar$kappa","1.22062","1.22062","1.22062","1.22062","1.22062","1.22062","1.22062","1.22062","1.22062","1.22062","1.22062","1.22062"
"83","mp$data$chkAges1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"84","mp$data$chkAges2","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"85","mp$data$chkIndex1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"86","mp$data$chkIndex2","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"87","mp$data$idxAges1","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)""","""seq(68,82,1)"""
"88","mp$data$idxAges2","""c(68,82)""","""c(68,82)""","""c(68,82)""","""c(68,82)""","""c(68,82)""","""c(68,82)""","""c(68,82)""","""c(68,82)""","""c(68,82)""","""c(68,82)""","""c(68,82)""","""c(68,82)"""
"89","mp$data$indexType","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)"""
"90","mp$data$inputAges","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')"
"91","mp$data$inputCatch","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')"
"92","mp$data$inputIndex","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')","read.rep('mserproject/history/iscamWCVI2017.rep')"
"93","mp$data$k1Ages","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)"""
"94","mp$data$k1Index","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)"""
