"ro","h","m","rbar","rinit","rho","vartheta","bo","sbo","SSB","Age.3to10","rt3.p.","rt3.a.","rt3.g.","Age.4","Poor","Average","Good","q1","q2","f","harvestRate","availHarvestHCR","sel_gear1","sel_sd1","sel_gear2","sel_sd2","sel_gear3","sel_sd3","sel_gear4","sel_sd4","sel_gear5","sel_sd5"
1423.26669790721,0.757683,0.376487286465592,975.597398720442,31.9451381926341,0.357252,1.64636,0,126.917,97.7912,112.695,15.9824,28.3987,48.5543,63.5089,79.4913,91.9075,112.063,0.909314099942689,1.00084906625285,-1293.41,0.2,22.539,2.69216,0.319451,2.87449,0.334018,4.63853,0.406105,2.055,0.05,2.055,0.05
1892.96564007259,0.799656,0.540929674644632,1000.234748567,120.249650194958,0.275783,1.3992,0,166.867,103.474,113.196,14.4042,28.539,47.7826,65.6209,80.0252,94.16,113.403,0.978364577286867,0.983727255225642,-1296.49,0.2,22.6392,2.67251,0.303973,2.90961,0.336581,4.69263,0.4082,2.055,0.05,2.055,0.05
1771.30173718818,0.728444,0.403366782774262,1576.18082419425,37.8571550876176,0.270954,1.23163,0,169.466,164.139,198.308,15.6458,28.4564,49.0753,107.161,122.807,135.618,156.237,1.02482093523776,0.994271540554531,-1301.79,0.2,39.6616,2.62982,0.281269,2.88914,0.329368,4.69614,0.411599,2.055,0.05,2.055,0.05
1727.32629886221,0.705237,0.355325858237784,946.413900196701,79.9155138694375,0.28313,1.59324,0,165.137,146.801,166.314,14.4715,28.0784,50.0207,99.0366,113.508,127.115,149.057,1.00972137857601,1.00843882784669,-1287.39,0.2,33.2629,2.54058,0.249889,2.9175,0.342653,4.69541,0.410786,2.055,0.05,2.055,0.05
1430.14340293672,0.73967,0.49964221834878,1321.6021109052,396.343000804918,0.376882,1.63469,0,132.346,89.9072,107.275,14.2411,28.6387,48.9693,58.1182,72.3593,86.7569,107.087,1.0695449739122,0.995766367197985,-1288.53,0.2,21.4551,2.60055,0.276229,2.89632,0.339435,4.6452,0.397789,2.055,0.05,2.055,0.05
1508.55874424702,0.674655,0.206354441274179,1236.00539142196,24.1672884058451,0.403169,1.72898,0,134.585,95.7554,104.021,13.3288,27.2828,45.0327,58.932,72.2607,86.2148,103.965,1.03586051837495,0.997995651394806,-1292.75,0.2,20.8041,2.68269,0.317673,2.89292,0.336228,4.66251,0.409719,2.055,0.05,2.055,0.05
1308.30802838556,0.714302,0.263432002323793,1044.19339965725,114.30610712062,0.411826,1.68581,0,110.59,94.6584,107.365,14.205,28.3105,46.3087,57.0652,71.2702,85.3757,103.374,0.978669972525886,1.01432067225343,-1299.38,0.2,21.473,2.67974,0.31877,2.93112,0.340994,4.75831,0.415086,2.055,0.05,2.055,0.05
1438.39041494089,0.696651,0.220054507929968,1138.77681950198,113.916987121997,0.313846,1.31797,0,139.189,114.388,143.183,14.5506,29.1616,50.5827,75.3393,89.8899,104.501,125.922,0.993405777938051,0.991785266848133,-1303.46,0.2,28.6365,2.67752,0.323888,2.84781,0.319654,4.74515,0.421251,2.055,0.05,2.055,0.05
1563.41842354836,0.734741,0.342162331850067,1323.22868163754,242.972920777174,0.289399,1.53113,0,148.653,113.148,133.457,15.052,27.6297,45.9248,70.0921,85.1441,97.7218,116.017,0.9850811060819,0.992627630228217,-1301.51,0.2,26.6915,2.54779,0.257488,2.86431,0.328881,4.7025,0.405351,2.055,0.05,2.055,0.05
1505.30377399285,0.750117,0.713515584483751,900.878141136243,1004.59524693125,0.253402,1.45112,0,126.054,104.89,115.744,14.4511,29.0182,48.0708,66.205,80.656,95.2232,114.276,0.950644122934969,1.00067585828936,-1316.73,0.2,23.1487,2.71989,0.315163,2.8611,0.326121,4.62219,0.396397,2.055,0.05,2.055,0.05
1609.83988061731,0.789849,0.497394900488764,888.229361838829,121.158547765675,0.275659,1.48326,0,151.469,145.785,183.936,15.8365,28.4468,48.8204,99.2448,115.081,127.692,148.065,1.03848435580694,1.02029234604509,-1294.84,0.2,36.7872,2.64067,0.294128,2.88698,0.337068,4.60882,0.398972,2.055,0.05,2.055,0.05
1335.07132984167,0.680659,0.552979139828722,1062.93581976008,101.326705059327,0.313931,1.8347,0,118.946,86.0128,101.204,12.691,27.8638,48.1636,51.7125,64.4034,79.5762,99.876,1.08239361615953,1.005797842807,-1306.53,0.2,20.2407,2.65878,0.292525,2.9062,0.337074,4.66738,0.397593,2.055,0.05,2.055,0.05
1106.28186452754,0.795446,0.423378796778063,728.173977698127,117.273639123638,0.283113,1.60493,0,99.5383,84.8017,93.1893,12.9631,26.821,45.3464,52.9539,65.917,79.7749,98.3003,1.08605406078377,0.999178661483284,-1310,0.2,18.6379,2.65352,0.305108,2.94314,0.346798,4.66591,0.403695,2.055,0.05,2.055,0.05
