"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
808.424,912.952,2173.3,1498.84,921.862,637.037,674.469,1229.16,1431.52,748.506,1485.21,1255.88,2014.38,869.22,465.16,968.707,708.645,217.464,639.955,676.048,512.699,590.761,585.042,867.69,511.124,970.272,765.853,457.171,817.757,597.783,668.94,523.308,459.584,711.83,1315.62,647.248,1407.48,498.324,1102.26,715.595,1710.62,1490.62,2071.47,931.056,1960.95,2328.54,2378.88,945.432,1355.55,1640.19,2075.42,2207.39,1419.31,1585.03,1403.06,2372.75,606.006,2049.93,285.247,1746.3,915.226,509.516,968.758,1104.48,1008.39,1356.43,1913.95,1138.77
1066.93,880.031,1824.16,1614.33,827.992,619.053,718.772,1201.03,1195,651.537,1134.34,1188.1,1783.36,879.816,527.681,509.117,954.274,316.998,1091.12,1325.25,949.869,922.84,954.135,1086.43,645.95,1090.49,761.755,392.573,695.377,550.936,533.233,501.075,315.706,621.722,1138.67,585.84,1268.98,441.11,1102.03,706.68,1728.78,1308.29,2172.99,804.433,1834.55,2107.29,2464.32,1029.3,1270.53,1451.61,1779.91,1751.01,1103.6,1244.67,1231.32,2232.25,593.911,2580.06,439.047,2449.15,1425.4,805.993,1132.89,1218.9,1007.54,1083.98,1703.7,1323.23
1477.46,1850.64,2639.12,1334.41,808.643,558.914,953.306,1341.44,1417.79,906.318,2199.57,1564.83,2418.41,932.006,884.707,980.759,770.889,293.161,721.409,919.863,687.859,689.838,829.308,1052.94,720.509,1203.06,915.229,441.289,831.265,526.553,546.065,429.347,368.146,552.447,1131.82,703.577,1733.96,544.119,1454.67,955.978,2091.01,1508.97,1825.91,754.18,1622.84,2008.39,2207.5,850.557,1090.37,1448.75,1596.06,1760.82,1093.74,1292.44,1201.95,2325.35,648.826,2314.28,387.219,2963.82,1502.85,760.818,1183.24,1226.53,1078.88,1271.28,1425.43,900.877
961.155,1094.03,1599.99,1239.87,777.228,608.675,456.687,888.878,998.44,621.883,1519.55,1307.29,2110.67,1018.29,777.202,723.094,1180.2,967.764,1351.64,1098.41,809.766,609.708,698.117,719.469,528.08,801.286,638.68,344.531,567.977,460.31,538.07,493.107,394.89,787.535,1380.92,710.207,1708.34,504.972,1517.8,783.769,1925.69,1569.7,1868.57,842.945,1570.37,2257.41,1955.11,796.351,980.12,1174.94,1497.16,1551.54,1019.67,1084.87,1400.24,2229.03,640.082,2106.35,328.04,1791.07,1058.61,511.028,822.585,930.678,1268.42,1177.79,2042.6,888.229
1223.61,1272.59,2109.88,1798.7,955.201,688.521,495.537,1175.06,1172.18,539.406,1786.62,1325.69,1725.66,973.328,667.622,813.074,859.673,145.838,569.693,737.527,575.935,585.383,611.547,874.369,632.05,1034.78,823.298,434.492,716.317,514.902,562.741,436.129,351.91,595.605,885.996,493.899,1210.59,413.176,1092.45,774.856,1776.89,1638.47,2418.54,1103.77,2237.39,3220.46,3247.25,1396.84,1710.6,2008.69,2010.75,2089.52,1284.64,1183.8,1037.72,1842.79,434.782,1474.08,305.192,1833.75,1161.37,611.153,1211.54,1320.71,1305.75,1194.09,1716.36,1062.94
983.591,858.59,1536.02,1340.49,727.24,349.655,455.86,1160.54,758.344,473.548,1242.66,1121.66,1932.68,1163.86,720.742,700.324,1577.25,410.57,912.067,935.903,644.708,551.376,622.242,680.326,483.562,827.062,606.272,331.876,691.083,566.837,544.042,488.82,407.509,640.287,1301.95,586.414,1514.74,517.355,1431.68,763.022,1896.07,1593.62,2087.68,943.843,1996.47,2846.26,2760.12,1468.59,1611.07,1882.77,2255.11,2206.11,1294.59,1294.67,1233.28,1778.43,498.148,1668.21,350.293,2022.13,1176.03,753.986,1371.2,1168.95,1234.24,1431.08,1414.81,728.175
858.179,839.045,1290.81,1177.93,508.324,565.489,411.991,925.474,961.317,454.141,1412.15,1031.07,1751.61,778.641,695.164,1063.54,376.94,330.966,870.354,1092.61,904.509,843.335,960.243,1079.57,619.414,1028.04,803.576,418.616,658.202,508.525,575.655,340.006,338.002,564.493,1107.06,536.416,1403.57,425.924,1430.89,772.2,2159.32,1630.65,1922.74,872.389,1948.97,2524.31,2531.41,1196.1,1542.01,1744.22,1910.44,1735.17,1166.64,1136.7,913.377,1618.96,544.072,1615.87,314.793,1947,1171.47,648.361,1381.61,1177.17,1077.3,1363.18,1805.25,975.428
1211.04,1193.88,1363.64,1428.46,678.311,530.327,406.537,766.898,964.864,525.638,1258.62,1086.15,1730.87,1045.53,688.543,609.11,1496.21,645.683,1338.55,1197.9,682.117,589.065,598.191,762.816,493.906,811.46,687.098,409.385,646.508,498.314,527.873,465.518,423.077,774.645,1738,817.845,1770.37,546.918,1427.49,853.276,2061.99,1337.24,1881.34,779.598,1513.09,2175.26,2071.44,969.018,1190.41,1469.78,1730.44,1723.62,1186.4,1215,1045.4,1926.56,623.335,1853.64,330.584,1981.18,1256.97,657.908,1278.33,1124.36,1216.08,1648.24,1971.36,833.987
1922.39,1760.45,1954.49,1469.51,1065.73,465.058,685.774,1216.3,1047.78,696.593,1353.02,1442.57,2186.62,941.444,734.773,967.517,811.707,320.915,989.954,1039.02,815.175,669.164,694.455,820.854,561.699,846.451,776.049,384.302,643.877,557.357,589.036,569.893,464.034,752.068,1701.61,769.037,2042.42,581.331,1553.09,920.398,2633.85,1527.61,2359.09,1008.21,2165.38,2395.84,2501.03,956.534,1187.41,1441.81,1720.21,1657.67,1165.93,1136.27,1192.65,1780.58,538.236,1635.93,333.807,2022.86,1236,768.389,1648.87,1384.57,1153.28,1507.19,1463.54,1049.42
1483.17,1768.16,1791.12,1285.98,727.081,537.632,466.901,1004.01,1127.16,591.092,1093.21,1403.07,1943.91,979.005,693.898,737.33,858.561,292.577,709.979,710.299,417.704,483.304,448.812,794.312,500.396,768.309,648.298,409.861,603.663,540.203,583.465,390.201,352.395,642.884,1254.69,600.982,1524.08,494.328,1298.52,778.42,1927.21,1354.92,1672.41,779.134,1626.27,2257.22,2314.52,963.283,1327.02,1599.02,1692.57,1724.81,1042.17,1074.15,1017.44,1607.21,488.482,1591.32,312.829,2478.53,1319.22,933.506,1715.67,1752.72,1475.16,1214.54,2179.01,834.841
