sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018
24.6524,10.0852,16.2382,9.27843,14.4556,13.2129,23.665,39.7351,24.116,10.529,11.4177,18.0925,18.6927,18.1441,14.1073,8.9463,6.05624,8.18609,9.221,16.6774,30.8288,46.2389,51.7761,62.8866,80.1089,60.1406,46.5058,34.3198,27.8315,33.0498,29.988,23.996,19.3462,22.9812,39.8364,54.1533,52.2003,69.5726,54.6602,46.3074,36.8305,44.3531,41.9627,33.9187,29.496,32.091,38.8649,27.0261,17.9864,16.2263,18.6102,18.5848,15.0529,8.04536,3.97718,4.15669,4.10354,3.65486,3.99084,4.94139,6.73826,6.80911,8.48444,13.158,18.4013,26.8555,24.7814,23.4267
29.6048,17.0761,29.1851,20.0051,23.7227,26.6086,43.4805,55.5058,27.6852,11.9919,15.416,23.5318,22.6267,20.0591,14.7008,8.97331,7.35613,12.2225,15.3692,28.4501,45.6087,61.986,65.6789,72.6052,91.2594,68.6132,52.5373,39.0096,31.8642,36.8926,35.0501,29.4733,24.8057,30.4144,47.899,58.1366,52.0445,62.9391,45.7387,37.0969,29.4069,36.8587,36.5177,30.4436,27.8451,31.351,38.4636,28.9163,20.7215,19.1561,21.0245,21.5557,16.8552,8.92085,4.65171,4.51377,4.24406,3.7011,3.94791,4.4829,5.12613,5.1017,6.90894,11.2565,17.4684,28.4295,31.7224,33.561
23.9866,8.85596,17.3935,10.6846,15.1456,12.7772,27.613,44.1406,30.4814,11.2343,13.1655,19.9671,25.4475,26.2585,17.9073,8.69986,5.05632,9.8062,11.863,20.875,35.2729,50.123,55.3345,64.1102,85.5002,67.8952,54.8413,40.3825,34.1261,39.9419,39.3077,30.7531,23.9664,31.6929,50.2374,58.3673,53.6714,65.1309,47.385,36.7505,29.5947,39.5505,36.7199,28.5966,24.8818,28.6749,35.5214,24.6972,17.2722,16.9586,19.993,21.6582,18.8446,10.8656,6.15255,5.82376,5.40709,4.58441,4.88373,6.21469,8.00858,7.74229,9.25098,13.3572,15.7114,17.3941,10.3886,7.13164
31.7948,13.3803,22.09,13.5142,16.9765,17.4549,32.3691,48.3928,29.7855,13.4261,14.2826,24.0975,22.7113,18.3995,9.41257,2.60585,3.29231,10.019,10.8795,20.4052,37.9721,50.2347,56.1271,65.3994,80.0214,59.9553,48.7412,38.7342,33.7155,42.1727,43.5903,34.7587,28.602,35.0659,49.4793,52.5705,44.8333,56.7983,43.18,35.0313,27.8257,34.6036,35.1603,29.8905,27.2302,30.8275,35.3794,23.672,16.2826,16.2261,20.7737,21.9891,18.8744,11.0801,6.20523,6.00594,5.61712,4.65959,4.73546,5.73196,7.15103,7.14143,8.923,12.7751,16.0184,17.625,9.45493,6.25184
24.7199,10.7336,19.6733,14.3709,18.9617,22.1702,38.5372,51.5193,29.0309,13.2218,13.917,18.8799,20.1899,19.0225,10.992,4.67766,4.1248,12.5734,14.2484,30.0541,53.2983,65.2465,67.1673,76.2308,92.8587,72.5534,61.5498,52.2513,53.0813,65.8771,64.6632,48.096,34.9106,35.9671,45.0866,45.9692,37.448,46.9425,36.2025,31.3715,27.8065,38.0956,40.4061,37.3834,35.0562,40.6787,49.034,31.7288,19.7462,16.9345,18.4451,18.5792,15.6762,8.13219,3.99208,4.74813,5.32225,4.68704,5.02745,6.1832,7.45236,7.24989,8.5722,11.8332,17.4845,25.6855,20.059,15.7177
21.2177,9.73295,19.6807,14.2613,19.155,21.8194,38.0137,49.0708,26.2937,11.9664,13.7436,21.8783,20.0728,15.7325,7.07796,2.25548,2.51487,7.32915,7.9597,15.7388,32.8582,48.3889,53.0783,60.584,81.7692,59.4153,47.5091,35.9194,28.64,32.3403,31.1089,24.3507,18.7028,21.5201,35.2093,45.1698,41.4381,55.8959,43.2569,35.2945,28.4447,37.9214,38.7435,33.6102,29.0487,31.1753,35.0009,23.8336,16.7599,15.949,18.1704,19.4227,17.2127,10.2514,5.56858,5.85247,5.56598,4.39998,4.1001,4.1142,4.88558,4.70472,6.12919,10.5183,17.7297,33.5511,42.8099,49.8629
26.2117,11.597,19.3754,10.9835,15.8863,16.4235,29.6738,46.1486,24.6165,14.0321,18.3284,27.0042,27.148,22.1847,14.038,6.03001,3.21155,7.32771,8.38622,15.2315,30.0429,42.5007,47.4196,58.0861,74.6861,59.4345,48.7206,41.0704,38.0071,47.2276,48.834,37.5917,27.3851,29.6544,41.7279,45.8376,39.4658,51.5771,40.0754,35.1784,32.2213,46.3129,46.6401,39.5695,34.5484,35.4574,39.0335,24.0605,14.8956,13.1941,15.3398,17.042,14.9899,8.35175,4.18957,5.0116,5.30024,4.63024,4.37772,5.50818,7.4865,6.69833,8.1336,12.3717,16.0154,24.4676,28.7625,30.6811
30.2411,14.9606,21.3462,15.6977,19.4801,21.9487,37.6449,48.0404,25.5214,11.5272,13.2434,20.7108,21.8606,17.2934,11.6704,4.73283,2.99306,6.46552,9.61426,18.7011,31.7413,48.234,54.7596,64.5479,83.2822,64.519,47.0262,32.5629,26.1845,32.9827,33.0717,27.8923,22.7557,28.7793,47.1183,56.3913,51.0064,64.707,50.8451,41.5531,33.2513,41.1677,40.0397,33.8102,29.024,31.9368,38.7202,27.3601,18.8684,17.6212,19.4874,20.3909,17.3585,9.58812,5.32441,5.27008,4.60718,3.8584,3.85314,4.39282,5.88589,6.04497,8.22839,12.5876,18.6054,26.7097,20.6924,15.8263
33.0276,17.394,23.5252,14.0959,18.6632,20.5346,35.9869,47.8951,27.1508,11.2279,14.7372,25.714,24.1685,19.1122,9.17692,2.92772,3.48487,10.2672,13.0273,24.3716,42.2622,62.1463,70.1024,81.6922,104.322,79.4174,61.3741,44.0605,33.9325,36.3101,32.0879,23.5337,17.0011,21.7272,39.9372,50.1856,45.5114,60.2988,47.8653,42.4134,36.8004,49.4595,48.9794,40.8027,34.9965,39.2937,48.8549,32.6918,20.9426,18.1325,18.8138,18.5241,14.6201,7.02605,3.24624,3.63069,3.87477,3.82223,4.1857,5.00297,6.43743,6.40408,7.94801,11.5123,15.3595,21.2531,20.7341,21.1186
27.2268,13.0052,20.4116,10.8667,16.4252,17.6376,33.2564,47.6484,23.7892,11.3026,13.031,19.8567,20.5264,23.1651,11.5295,3.55821,5.07168,12.6556,12.4628,23.437,40.9608,57.0554,64.3347,76.7022,100.094,74.9224,60.7718,45.8433,35.3906,37.5558,32.8926,23.9476,16.8256,19.8877,34.5947,43.4478,39.2313,50.1985,39.0678,33.8003,29.9578,40.9195,41.9831,35.9393,30.8571,33.3468,38.4749,23.9902,15.7688,14.4107,17.0097,18.7126,15.959,9.27467,5.61622,5.86784,5.79287,5.2044,5.70994,6.33773,7.01119,6.58616,8.47561,12.7864,15.1654,18.2082,13.5473,10.8283
