rdev1_1951,rdev1_1952,rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017
0.316808,-0.202357,0.632893,-0.0345893,0.00454341,-0.150359,0.129987,0.973587,0.624635,-0.0454734,0.706098,0.0075298,0.530834,-0.169255,-0.866132,0.279972,-0.621498,-1.743,-0.333437,0.278432,0.365612,0.433723,0.645581,0.9138,0.135295,-0.299462,0.217737,-0.883378,0.204458,-0.303037,-0.605596,-0.572505,-0.0163695,0.669556,1.18149,-0.031761,1.5965,0.0216087,0.19485,-0.471786,0.588475,0.280317,0.0334355,-0.58188,-0.276175,1.21184,0.438714,-0.303104,-0.337951,0.345341,0.518433,0.471181,-0.397015,-0.287433,-0.632336,-0.161018,-1.19426,-0.409926,-0.924101,0.178256,-1.15724,-1.12679,0.0391563,-0.406499,1.00399,-0.771421,0.160643
-0.0633514,0.65225,0.751597,0.105554,0.644554,0.788789,0.817686,0.851994,0.658119,0.284913,0.816105,-0.00970402,0.315507,-0.407642,-0.889843,0.0411026,-0.210855,-1.13401,0.285282,0.63597,0.63458,0.488698,0.653103,1.0789,0.0624255,-0.463056,0.177158,-0.866405,0.0358248,-0.317096,-0.408841,-0.536674,0.199238,0.792852,1.13806,-0.113923,1.38916,-0.347812,-0.0955964,-0.714891,0.233225,-0.0529288,-0.314191,-0.967644,-0.49467,0.811881,0.234996,-0.505493,-0.286265,0.0486824,0.549102,0.412331,-0.395255,-0.225517,-0.641456,-0.222481,-1.07093,-0.477207,-0.811846,-0.191677,-1.43694,-1.16828,-0.239343,-0.521307,0.723376,-0.485452,-0.0445399
-0.309906,-0.109446,0.466258,-0.298001,-0.30025,0.153034,0.116849,0.866847,0.366071,0.0110901,0.815903,0.30494,0.888535,0.0964129,-0.651651,0.0231839,0.302701,-0.775685,0.149762,0.465311,0.444292,0.2809,0.573652,0.944379,-0.00421593,-0.363406,0.326311,-0.916631,0.217378,0.05802,-0.476377,-0.602353,0.412652,1.07031,1.17061,0.282882,1.54492,-0.0503666,-0.0547622,-0.518032,0.619118,0.0472173,-0.200854,-0.852774,-0.486488,0.989959,-0.0599753,-0.729849,-0.496416,-0.0453609,0.304159,0.293394,-0.575257,-0.166576,-0.604957,-0.0947333,-0.997595,-0.325062,-0.566595,0.318668,-1.01281,-1.03469,0.132527,-0.327805,0.836659,-0.819436,-1.02512
0.105519,0.556808,0.961693,0.0806678,0.299934,0.525223,0.512765,1.08598,0.793088,0.0653668,0.888705,0.0192692,0.60536,-0.432075,-1.06416,-0.329474,0.467281,-1.60303,-0.0742079,0.62302,0.190263,0.256934,0.644008,0.598136,-0.0730671,-0.396848,0.086566,-0.865277,0.235985,0.150685,-0.496273,-0.328887,0.456961,1.01922,0.897438,-0.194519,1.28824,-0.309766,-0.367125,-0.600053,0.0402181,0.0291905,-0.137,-0.885202,-0.23255,0.935229,-0.0819807,-0.806,-0.701227,0.146871,0.193898,0.247135,-0.473496,-0.15573,-0.40601,0.25033,-0.452144,-0.0386926,-0.424584,0.269593,-1.2664,-0.981935,-0.166504,-0.435084,0.810778,-0.969344,-0.612139
0.17296,0.244046,0.65473,-0.109579,0.173886,0.496511,0.566532,1.01217,0.67051,0.27874,0.680885,0.141197,0.62399,-0.47358,-1.15574,-0.629498,0.316645,-2.07463,0.354305,1.08232,0.676413,0.530174,0.887714,1.00783,0.113739,-0.248856,0.316688,-0.456791,0.638742,0.375588,-0.0548138,-0.0280916,0.692456,1.18428,1.12276,-0.0694527,1.09984,-0.603186,-0.532469,-0.852058,-0.0799891,-0.252983,-0.197623,-0.80636,-0.245388,1.24953,0.260948,-0.422931,-0.383175,0.130114,0.224603,0.284924,-0.735396,-0.661479,-0.919396,-0.181938,-1.06248,-0.564149,-0.687919,0.0257794,-1.29952,-1.09082,-0.255088,-0.653523,0.974458,-0.605434,-0.697088
0.249677,0.549563,0.963298,0.157527,0.503141,0.747682,0.392429,0.998568,0.925888,0.184876,1.01518,0.101808,0.643866,-0.514988,-1.32254,0.0286396,0.129787,-2.30535,-0.413084,0.484061,0.321254,0.272581,0.467898,0.920052,0.0713126,-0.338044,0.103127,-0.808871,-0.0711184,-0.0873357,-0.813278,-0.581327,-0.0501822,0.567002,0.882406,-0.237969,1.32437,-0.363101,-0.19826,-0.664501,0.418797,0.201198,0.13045,-0.815786,-0.236509,1.08082,0.1056,-0.416309,-0.259662,0.0376871,0.397158,0.415124,-0.140165,-0.0599757,-0.361638,0.332618,-0.791846,-0.0542884,-0.869554,0.0850319,-1.408,-1.34355,-0.329236,-0.661007,0.756243,-0.520876,-0.0385075
0.373574,0.228913,0.701485,-0.231106,0.142758,0.0799618,0.311872,0.972472,0.813351,0.363793,0.918017,0.576036,0.853672,0.330902,-0.29187,0.123624,0.33196,-0.971507,-0.302768,0.409257,0.133783,0.145774,0.435519,0.435725,-0.10689,-0.581193,0.0318847,-0.765826,0.173441,0.0815849,-0.343836,-0.520466,0.351314,0.988461,0.989536,-0.0903085,1.21768,-0.616853,-0.306491,-0.795084,0.414865,0.0359439,-0.167958,-0.588571,-0.306815,1.17349,0.198496,-0.494454,-0.499454,-0.166542,0.184365,0.106232,-0.604373,-0.792582,-0.769112,-0.270343,-0.990708,-0.413928,-1.00451,0.557771,-0.89603,-0.866917,0.128232,-0.46689,0.54259,-0.387492,-0.406814
0.63068,0.482617,1.04805,0.0549071,0.440402,0.679948,0.216121,0.938353,0.595166,0.117361,0.736532,0.199867,0.594873,-0.0261908,-0.986522,0.243555,-0.296052,-0.957103,0.0256008,0.191076,0.403996,0.304148,0.467672,0.759081,-0.097886,-0.654028,-0.100494,-1.18596,-0.0462365,-0.362468,-0.699493,-0.647803,0.00975517,0.814809,0.919566,-0.0739198,1.3789,-0.0535326,-0.0693916,-0.539177,0.416469,0.161827,0.0553104,-0.782034,-0.402356,1.11133,0.158501,-0.513516,-0.374811,-0.0267015,0.295365,0.36437,-0.412245,-0.125875,-0.340824,0.0554318,-0.921715,-0.164235,-1.03153,0.135855,-1.38721,-0.948076,-0.154959,-0.479722,0.987465,-0.578144,-0.627757
0.756233,0.414564,0.64844,-0.186885,0.130723,0.319057,0.11977,0.771619,0.652572,-0.0122729,1.02094,0.200641,0.832394,-0.260006,-1.02756,-0.126983,0.525777,-0.916867,0.184346,0.509163,0.578466,0.419835,0.68983,1.07278,0.199231,-0.011144,0.320342,-0.488389,0.268675,0.00738509,-0.547258,-0.73275,-0.119711,0.742089,0.728603,-0.398639,1.15784,-0.407232,-0.140727,-0.639057,0.503025,0.173192,-0.004452,-0.573637,-0.434452,1.38838,0.365233,-0.338013,-0.140471,0.12382,0.401184,0.351597,-0.641677,-0.712033,-0.909769,-0.543348,-1.08539,-0.5674,-1.06957,0.00626083,-1.28059,-0.9931,-0.22857,-0.512651,0.56536,-0.850805,-0.19917
0.805228,0.443856,0.639365,0.0350447,0.0158385,0.299645,0.0948026,0.888462,0.552562,0.105007,0.768204,0.107237,1.02705,-0.189978,-1.34906,0.178675,0.834638,-2.28534,0.263038,0.622915,0.435786,0.334688,0.705406,1.09257,0.148319,-0.158108,0.463,-0.760896,0.286832,-0.00501695,-0.462306,-0.66469,-0.155131,0.666243,0.665311,-0.402811,1.00548,-0.70211,-0.399035,-0.66597,0.303272,0.0754768,-0.0139207,-0.801034,-0.32757,1.17693,-0.0444618,-0.544551,-0.391428,-0.0256111,0.359857,0.311067,-0.639396,-0.0841296,-0.544447,0.0771786,-0.814763,-0.0108544,-0.368886,0.213333,-1.08074,-0.959267,0.186741,-0.4076,0.71046,-0.795113,-0.834332
