ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
634.2,0.667615,0.678084,345.318,444.371,0.29837,1.21945, 82.1383, 60.1818,0.771845,0.989445,43.1162,2.43791,0.15067,2.98125,0.327234,5.0736,0.542636,2.055,0.05,2.055,0.05,-656.778
484.568,0.818067,0.813876,351.526,569.143,0.309434,1.28191, 51.787, 43.4009,0.898499,0.98307,35.8549,2.3809,0.139547,2.98925,0.324294,4.70916,0.430721,2.055,0.05,2.055,0.05,-650.093
468.847,0.632263,0.865795,377.116,1102.98,0.309242,1.40175, 25.136, 37.3652,0.819948,0.976274,16.6541,2.51,0.194604,3.0216,0.322338,4.75634,0.454131,2.055,0.05,2.055,0.05,-655.118
736.06,0.6846,0.721742,394.766,282.623,0.386723,1.22905, 56.2395, 56.1292,0.777485,1.00372,19.1611,2.81902,0.272023,2.99006,0.308195,4.76631,0.467378,2.055,0.05,2.055,0.05,-654.139
517.933,0.766934,0.796356,374.521,633.211,0.360806,1.2718, 38.8525, 40.1704,0.878045,0.985561,19.9293,2.72904,0.248158,2.98848,0.326295,4.73621,0.446434,2.055,0.05,2.055,0.05,-657.56
571.755,0.702631,0.438545,373.438,60.5724,0.280956,1.30142, 36.2909, 47.6575,0.768737,0.988499,16.2732,2.48622,0.180251,2.95715,0.318143,4.77099,0.431323,2.055,0.05,2.055,0.05,-643.912
683.226,0.693683,0.440396,422.258,58.1189,0.231456,1.31356, 36.4564, 50.8144,0.69666,1.00435,15.8313,2.69098,0.252147,2.96287,0.303832,4.8324,0.4629,2.055,0.05,2.055,0.05,-657.45
605.416,0.717967,0.969092,430.505,198.244,0.280689,1.31626, 34.5902, 39.8856,0.77333,0.997196,16.4716,2.62407,0.216827,3.025,0.32704,4.6345,0.424565,2.055,0.05,2.055,0.05,-641.973
668.418,0.699015,0.450698,423.453,87.627,0.341945,1.48082, 40.0596, 48.0473,0.737893,1.01048,19.662,2.6951,0.229615,3.00462,0.31702,4.91189,0.483123,2.055,0.05,2.055,0.05,-662.931
733.788,0.756224,0.400196,394.037,51.9022,0.300192,1.23175, 40.669, 56.4136,0.772012,1.00533,18.2122,2.50098,0.173671,2.97207,0.320581,4.93402,0.511213,2.055,0.05,2.055,0.05,-641.355
578.545,0.781156,0.454225,350.547,88.7667,0.31021,1.46436, 41.1547, 51.1208,0.879039,0.991547,23.7111,2.49806,0.164995,2.97485,0.320878,4.90367,0.497673,2.055,0.05,2.055,0.05,-649.509
751.879,0.662493,0.683998,412.226,200.166,0.336266,1.1503, 59.4079, 58.4924,0.724781,0.999491,33.2094,2.52945,0.186007,3.02365,0.334419,4.67997,0.414764,2.055,0.05,2.055,0.05,-648.33
612.719,0.806301,0.609662,362.048,196.325,0.302914,1.31627, 46.4403, 53.9702,0.779345,0.999722,22.2604,2.41222,0.168684,2.95293,0.319455,4.72029,0.458104,2.055,0.05,2.055,0.05,-659.106
582.586,0.697601,0.573915,399.272,123.348,0.295012,1.31304, 29.5958, 44.1343,0.79678,0.989464,14.5643,2.42922,0.147871,2.99878,0.325383,4.75259,0.440911,2.055,0.05,2.055,0.05,-656.276
442.182,0.838692,0.483143,324.155,136.458,0.309819,1.4051, 30.0893, 41.83,0.886977,1.00846,18.2807,2.32391,0.123071,2.92403,0.313413,4.86578,0.494443,2.055,0.05,2.055,0.05,-646.268
509.508,0.731827,0.613684,357.262,162.252,0.303809,1.01144, 22.9537, 42.5633,0.837818,0.997499,16.7034,2.37383,0.140544,2.95924,0.315487,4.89807,0.492571,2.055,0.05,2.055,0.05,-654.389
540.456,0.627895,1.06581,370.572,547.881,0.425602,1.15459, 40.22, 44.7418,0.810474,0.999483,28.3926,2.52363,0.208187,2.98242,0.322891,4.61618,0.415587,2.055,0.05,2.055,0.05,-647.035
575.016,0.795099,0.806741,381.003,579.024,0.296955,1.41345, 39.565, 47.6407,0.756156,0.979016,18.5383,2.54115,0.178926,2.97608,0.323784,4.68685,0.438198,2.055,0.05,2.055,0.05,-661.672
588.633,0.764175,0.914503,375.823,689.199,0.341365,1.02971, 34.1818, 48.7392,0.765987,1.00161,14.8161,2.68217,0.224831,3.00889,0.326817,4.74651,0.449292,2.055,0.05,2.055,0.05,-635.948
563.557,0.643753,0.843207,351.071,316.659,0.268988,1.30611, 45.1127, 49.7348,0.846981,0.98395,25.6788,2.43608,0.180707,2.95276,0.314766,4.7257,0.461662,2.055,0.05,2.055,0.05,-662.849
555.143,0.840429,0.843568,345.573,296.191,0.343618,1.37425, 64.3722, 50.9478,0.826762,0.989309,28.0304,2.66879,0.23006,2.93273,0.307749,4.67966,0.448374,2.055,0.05,2.055,0.05,-665.013
566.069,0.886366,0.753825,363.125,572.297,0.269657,1.06764, 37.1054, 47.213,0.877289,1.01042,22.2869,2.77221,0.26838,3.0068,0.320315,4.66669,0.454501,2.055,0.05,2.055,0.05,-658.492
465.261,0.766461,0.68655,330.006,324.827,0.282881,1.49739, 21.9546, 39.9555,1.06528,0.986588,13.199,2.43026,0.165323,2.96008,0.311227,4.70333,0.451131,2.055,0.05,2.055,0.05,-661.384
614.183,0.783127,0.840865,357.166,796.948,0.310936,1.35, 39.8549, 52.0349,0.921957,0.993828,21.6246,2.5652,0.19593,2.98026,0.313636,4.76219,0.452803,2.055,0.05,2.055,0.05,-646.473
495.91,0.713729,1.02826,326.625,880.611,0.326522,1.35028, 35.7214, 48.0321,0.897459,1.01241,25.4336,2.67867,0.241324,2.95647,0.319268,4.73947,0.438555,2.055,0.05,2.055,0.05,-664.351
449.66,0.740974,0.551136,335.163,106.66,0.369393,1.78837, 22.7847, 39.4491,0.96212,0.993494,14.3165,2.6891,0.249924,2.99691,0.323406,4.86171,0.492238,2.055,0.05,2.055,0.05,-662.341
442.815,0.913923,0.520501,337.692,216.923,0.335231,1.6095, 32.5242, 40.7483,0.945996,1.00113,25.4678,2.5073,0.193804,3.01266,0.32217,4.84676,0.512616,2.055,0.05,2.055,0.05,-675.434
435.227,0.896199,0.447851,358.052,102.566,0.25385,1.14656, 20.7124, 37.3251,0.835161,0.978085,19.614,2.47495,0.174286,3.00914,0.318443,4.71159,0.432351,2.055,0.05,2.055,0.05,-662.422
463.018,0.859145,0.333036,351.8,52.0037,0.307188,1.29762, 20.3897, 39.7451,0.894042,1.0065,11.4388,2.52478,0.188782,2.95149,0.31211,4.81193,0.465838,2.055,0.05,2.055,0.05,-662.339
477.191,0.713251,0.864121,384.953,1461.3,0.308881,1.52965, 38.3895, 38.3663,0.785631,0.992006,27.1606,2.43219,0.15259,2.99015,0.321189,4.82209,0.453657,2.055,0.05,2.055,0.05,-642.549
714.061,0.624516,0.405874,380.671,53.9874,0.296612,1.13082, 105.055, 63.3988,0.720305,1.01457,43.2657,2.3959,0.147599,3.02151,0.321512,4.80986,0.460081,2.055,0.05,2.055,0.05,-657.087
579.667,0.699721,0.47927,350.483,130.476,0.28131,1.41181, 72.3488, 51.3155,0.835201,1.0074,33.3983,2.57203,0.210356,2.98647,0.317519,4.63421,0.44311,2.055,0.05,2.055,0.05,-665.439
536.825,0.802471,0.560429,385.438,166.534,0.347442,1.6429, 41.0311, 42.5885,0.829101,0.996849,24.5582,2.70442,0.262957,2.97553,0.318366,4.67859,0.442065,2.055,0.05,2.055,0.05,-670.314
619.098,0.684325,0.961813,398.976,979.577,0.369827,1.42639, 27.0388, 45.5042,0.817323,1.00783,13.1932,2.78761,0.261558,3.0146,0.331884,4.91806,0.501124,2.055,0.05,2.055,0.05,-656.332
518.791,0.561432,0.893984,391.668,577.348,0.40443,1.9796, 44.4927, 39.1471,0.863036,1.00712,26.9403,2.64839,0.225185,2.99374,0.316513,4.92626,0.484685,2.055,0.05,2.055,0.05,-651.126
524.758,0.79568,0.5717,401.056,144.916,0.284029,1.73542, 27.853, 39.3133,0.760168,1.00225,15.68,2.75155,0.274843,3.06122,0.351071,4.70299,0.409926,2.055,0.05,2.055,0.05,-644.915
415.191,0.748809,0.426899,364.918,98.4557,0.350704,1.46674, 14.5908, 35.0584,0.871989,0.990641,11.08,2.61276,0.238817,2.99289,0.312608,4.84924,0.474267,2.055,0.05,2.055,0.05,-668.016
487.409,0.721717,0.643409,347.796,190.935,0.380222,1.42315, 37.869, 43.5762,0.909602,0.997817,22.2324,2.62866,0.217451,2.96634,0.321887,4.83617,0.471308,2.055,0.05,2.055,0.05,-647.592
502.887,0.892894,0.667104,352.681,156.093,0.418155,1.08526, 25.0982, 43.4,0.956848,0.993724,16.0312,2.64385,0.23861,3.06465,0.337568,4.68865,0.446379,2.055,0.05,2.055,0.05,-642.561
538.488,0.826396,0.54552,374.648,45.9594,0.284532,1.26912, 19.7136, 42.882,0.874056,0.996873,11.0447,2.66876,0.242185,3.0625,0.335182,4.85668,0.484907,2.055,0.05,2.055,0.05,-664.436
592.984,0.683603,0.558806,361.098,158.164,0.256326,1.2358, 34.3287, 50.4667,0.869358,0.997513,23.2573,2.71889,0.250387,3.0352,0.324782,4.60714,0.421474,2.055,0.05,2.055,0.05,-631.149
578.15,0.741255,0.410172,369.419,67.8441,0.270047,1.38713, 36.9552, 49.7783,0.754933,1.01111,17.1355,2.6396,0.235088,2.9682,0.314108,4.78316,0.4502,2.055,0.05,2.055,0.05,-658.464
414.694,0.803778,0.674614,338.786,175.6,0.301155,1.49936, 15.4335, 36.5613,0.906051,1.00206,9.1014,2.67274,0.24514,2.9245,0.310498,4.62637,0.439467,2.055,0.05,2.055,0.05,-670.815
618.576,0.615914,0.573691,396.708,225.659,0.317112,1.51391, 47.1489, 48.3254,0.774972,0.990816,19.7326,2.72065,0.242214,3.00188,0.314839,4.84918,0.48236,2.055,0.05,2.055,0.05,-676.734
596.082,0.805154,0.790417,407.847,640.726,0.281662,1.35647, 33.9966, 45.5624,0.765043,0.979956,20.5943,2.65851,0.232014,3.01708,0.317292,4.71636,0.442081,2.055,0.05,2.055,0.05,-654.385
