rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017
825.452,368.765,521.012,665.351,466.409,855.086,795.142,378.99,869.409,348.78,599.742,188.226,83.9389,324.171,358.676,31.4149,208.419,511.166,434.366,413.73,502.97,790.515,338.304,224.66,349.24,140.297,293.393,288.674,139.68,176.145,299.601,555.37,761.309,248.307,1184.41,219.101,258.365,162.087,478.871,385.226,358.914,139.33,248.669,928.387,350.105,207.748,242.978,327.118,468.619,477.115,273.819,296.681,219.422,439.33,142.706,298.373,132.037,342.978,77.0637,82.1939,226.648,162.654,671.072,187.121,303.119
731.486,287.864,418.364,392.9,495.449,959.167,818.067,521.853,908.332,645.244,851.726,504.968,270.893,410.435,505.502,137.289,267.957,546.126,414.626,419.628,560.658,560.774,325.937,202.837,374.457,168.64,431.4,393.538,257.175,215.536,515.381,974.627,975.675,331.386,1225.7,195.731,266.961,163.777,549.198,375.98,306.628,201.345,266.874,1172.72,442.345,221.216,220.113,307.063,436.138,403.358,198.189,164.188,168.087,276.788,134.678,239.766,132.832,633.566,148.052,152.426,412.33,227.398,624.02,246.189,241.478
1015.26,376.061,552.938,702.604,441.848,909.776,645.491,400.297,743.506,434.724,645.302,346.767,132.731,454.137,264.752,136.694,365.2,430.919,533.17,482.506,568.225,760.462,322.776,185.085,321.935,108.732,339.885,247.739,176.859,186.241,359.459,804.043,892.843,330.605,1413.39,337.415,332.106,207.611,539.862,418.498,376.213,162.847,238.052,1081.58,417.108,213.008,244.7,346.59,478.286,512.456,235.709,313.867,253.16,376.259,141.618,302.055,126.889,407.769,88.9105,137.933,304.87,220.329,955.571,199.677,190.012
740.401,321.137,441.19,532.621,436.384,837.458,743.467,382.405,1074.59,473.141,889.933,298.493,138.545,340.961,654.931,154.762,465.493,644.139,690.363,589.095,771.69,1131.76,472.474,382.836,533.305,237.546,506.451,389.996,223.966,186.047,343.45,813.089,802.198,259.852,1232.25,257.629,336.307,204.322,640.198,460.33,385.407,218.135,250.711,1551.74,557.792,276.093,336.393,438.155,578.21,550.237,203.787,189.942,155.864,224.843,130.759,219.5,132.845,389.558,107.572,143.402,308.025,231.852,681.375,165.331,317.216
665.307,363.554,356.638,473.678,385.942,853.5,609.992,389.9,756.791,390.771,980.378,290.297,91.0882,419.708,808.776,35.714,456.652,654.452,542.761,490.572,710.728,1046.76,407.158,299.698,557.735,164.02,467.648,349.277,221.092,180.584,300.592,683.431,682.795,234.645,959.457,173.951,235.532,180.353,475.399,378.555,346.181,157.567,252.981,1138.89,335.768,203.636,237.331,342.158,503.076,479.119,185.21,322.71,203.657,379.199,155.418,347.244,242.742,434.509,119.121,134.507,423.107,233.524,714.329,158.502,152.407
746.639,352.18,394.617,552.836,438.63,1004.33,666.359,368.386,995.36,264.876,603.418,219.617,59.9347,425.931,111.75,25.3332,199.419,477.374,413.373,551.049,647.72,959.424,479.337,304.228,425.769,129.296,359.73,272.138,150.096,119.346,253.521,638.967,700.363,249.184,1315.28,250.216,287.502,206.961,471.872,376.345,285.108,142.234,233.349,805.498,365.332,154.75,193.603,307.693,519.343,441.785,248.589,218.903,223.473,298.864,124.643,314.077,171.105,393.385,133.235,130.614,372.956,251.285,704.993,120.604,191.473
1417.28,291.037,480.285,500.628,480.265,855.286,675.423,453.27,754.68,345.392,722.699,207.855,145.892,617.714,202.011,206.395,500.701,820.926,683.42,692.93,863.27,1083.92,421.111,302.004,519.187,164.477,407.945,335.387,230.131,148.952,303.195,746.609,1264.89,325.085,1594.42,329.376,310.185,180.288,562.472,345.376,270.424,165.294,192.086,983.092,361.808,223.712,234.154,313.458,464.252,456.576,251.663,294.701,245.457,417.542,157.135,325.01,190.091,506.815,131.886,145.279,379.349,273.319,850.523,187.533,203.361
991.072,290.727,708.923,821.406,665.468,865.583,863.735,471.864,1136.39,471.297,1366.04,441.924,100.045,687.191,548.741,95.9358,468.595,608.224,472.45,596.695,774.32,1083.31,456.264,394.436,640.436,274.651,646.797,579.237,378.808,272.658,522.1,1154.85,1336.94,377.398,1919.89,366.741,316.483,258.21,605.2,328.316,308.679,154.095,226.445,1038.06,402.629,264.017,296.272,419.629,631.044,790.191,419.836,371.973,304.118,478.997,103.223,283.277,136.323,308.371,122.991,102.407,276.838,216.084,757.529,273.547,239.914
1239.2,399.668,680.374,929.239,556.022,1024.33,711.499,376.03,886.929,432.313,678.024,302.614,132.342,202.392,280.923,70.2619,321.101,607.566,625.516,643.86,835.451,1274.18,525.667,359.768,665.11,198.458,533.036,429.472,273.643,248.56,435.854,1311.56,1439.96,514.938,1841.88,389.49,421.494,216.501,519.853,378.528,262.767,133.122,195.184,793.356,386.175,217.894,199.442,387.679,611.81,751.847,466.79,501.182,340.032,581.358,158.636,305.499,170.749,339.805,81.1792,104.532,244.073,142.271,574.858,152.994,174.947
838.238,305.849,375.961,588.352,304.722,895.956,794.097,443.919,691.757,371.379,628.131,341.886,214.353,383.309,499.417,115.15,643.082,763.602,670.08,724.039,636.395,1013.27,313.312,207.82,484.845,166.032,449.81,355.897,259.701,292.172,492.458,1171.42,1215.83,417.262,1898.37,325.21,380.375,182.274,603.385,386.106,272.719,155.572,271.228,1186.63,417.718,257.04,328.885,387.211,532.062,531.186,304.005,248.224,148.008,253.49,151.191,231.945,145.357,372.954,91.6787,126.212,307.572,192.745,776.481,192.154,155.239
1166.52,365.227,429.298,710.892,428.015,995.191,537.772,387.385,691.606,364.854,594.574,306.802,248.598,384.002,379.767,143.17,733.206,725.085,563.036,540.547,539.282,962.269,245.204,190.8,349.037,127.822,300.73,235.16,201.949,182.025,359.585,998.128,961.348,402.47,1669.62,325.867,328.092,168.959,549.379,342.656,252.428,114.804,223.027,863.574,293.077,161.85,181.602,321.527,441.893,407.121,227.621,295.163,207.762,386.815,172.699,288.164,170.449,453.508,103.213,133.949,298.045,248.478,986.243,225.33,210.759
643.96,301.943,455.4,715.395,376.89,833.387,888.047,440.847,707.249,446.901,608.473,293.499,92.6098,429.604,226.978,65.7079,264.943,543.068,409.446,473.076,630.012,752.033,275.357,232.224,409.65,152.106,472.538,364.115,236.416,275.45,558.763,1286.19,1212.3,485.865,1544.23,300.444,280.193,175.236,481.728,358.381,296.764,152.511,235.859,1073.37,410.059,260.776,254.281,351.392,552.072,500.189,251.78,225.724,162.609,238.985,95.5212,186.362,126.776,235.601,64.7871,90.2832,205.447,183.666,736.78,198.217,574.176
