m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017
0.516565,0.459651,0.40806,0.360899,0.319052,0.284235,0.258487,0.244246,0.244591,0.262524,0.302014,0.36826,0.4654,0.58944,0.718326,0.816453,0.850464,0.808753,0.709024,0.58664,0.473777,0.384939,0.322079,0.282121,0.261199,0.2563,0.265617,0.288751,0.326152,0.378143,0.443386,0.516645,0.587221,0.642358,0.671776,0.671709,0.64658,0.607375,0.56711,0.534386,0.513311,0.505083,0.508952,0.522343,0.540998,0.561264,0.580791,0.598805,0.616414,0.636899,0.665266,0.705298,0.75855,0.823513,0.893979,0.956991,0.993952,0.991802,0.949574,0.878688,0.798391,0.729897,0.691478,0.693093,0.741393,0.843365,1.00434
0.69523,0.676352,0.650081,0.606922,0.546976,0.478026,0.411375,0.357818,0.32506,0.315637,0.330684,0.37218,0.441926,0.536267,0.638214,0.720791,0.757025,0.733772,0.659705,0.559963,0.46125,0.378422,0.316005,0.273287,0.247971,0.238128,0.243008,0.263118,0.300027,0.355503,0.429369,0.51545,0.597894,0.656677,0.67652,0.654681,0.60245,0.539491,0.484691,0.447578,0.430996,0.434839,0.457358,0.494138,0.536702,0.576259,0.606118,0.623658,0.631726,0.638834,0.657231,0.696423,0.762309,0.85644,0.972072,1.0869,1.16122,1.16248,1.08555,0.955618,0.813582,0.697665,0.633341,0.630532,0.698791,0.857436,1.1352
0.739656,0.64621,0.568348,0.508779,0.467066,0.441466,0.429839,0.429834,0.438899,0.454986,0.476455,0.501854,0.529824,0.559076,0.588266,0.615304,0.637099,0.649613,0.648187,0.62828,0.587436,0.529189,0.4621,0.396374,0.340905,0.302254,0.285028,0.291566,0.324967,0.390371,0.492374,0.625604,0.760913,0.853067,0.865046,0.793434,0.670841,0.542997,0.442778,0.37897,0.349181,0.349698,0.378335,0.432634,0.505742,0.587521,0.665514,0.727967,0.768595,0.790231,0.80366,0.818605,0.840887,0.872153,0.909335,0.943562,0.961164,0.952332,0.915204,0.856153,0.787491,0.724016,0.679111,0.659492,0.667404,0.702682,0.762165
0.653981,0.618477,0.580321,0.534594,0.482164,0.427919,0.378516,0.340645,0.319841,0.318636,0.338604,0.381448,0.447532,0.531078,0.614382,0.673268,0.687316,0.650612,0.575296,0.484502,0.399874,0.331909,0.282756,0.250911,0.234067,0.230387,0.238892,0.259579,0.293016,0.339493,0.397536,0.461693,0.521114,0.563546,0.580249,0.569797,0.538815,0.499373,0.464181,0.440761,0.432326,0.439757,0.462352,0.497188,0.538325,0.579546,0.615804,0.644394,0.666052,0.685576,0.710908,0.748481,0.801971,0.871673,0.952743,1.03238,1.08941,1.10413,1.06632,0.979303,0.858641,0.725839,0.600005,0.490942,0.401029,0.328653,0.270582
0.772344,0.651557,0.550115,0.466509,0.399905,0.349761,0.315916,0.299132,0.301604,0.326226,0.377413,0.460806,0.579813,0.726563,0.870617,0.967006,0.978163,0.897343,0.753546,0.592595,0.451157,0.343152,0.267811,0.219215,0.191449,0.180609,0.185323,0.206585,0.247694,0.313502,0.407495,0.524565,0.641933,0.725348,0.746864,0.702701,0.615533,0.519664,0.442528,0.394061,0.374925,0.383827,0.419646,0.479327,0.553703,0.62978,0.693377,0.733585,0.747642,0.743005,0.734017,0.732193,0.744399,0.77369,0.819403,0.87589,0.931643,0.973907,0.991689,0.978241,0.932937,0.86143,0.773444,0.678627,0.584797,0.497456,0.419866
0.815671,0.75258,0.688329,0.616884,0.540203,0.465008,0.399335,0.350298,0.323034,0.319275,0.340341,0.38864,0.466063,0.567951,0.674654,0.755975,0.783537,0.746324,0.657685,0.546962,0.442331,0.357601,0.295522,0.253901,0.229422,0.219372,0.222197,0.237599,0.266217,0.308918,0.365418,0.431914,0.498945,0.554263,0.587205,0.593093,0.575451,0.544733,0.513806,0.491226,0.481176,0.485047,0.50221,0.529683,0.561851,0.593419,0.620727,0.642554,0.660792,0.680845,0.710813,0.757042,0.82285,0.907366,1.00271,1.08997,1.13998,1.13095,1.06057,0.946941,0.8196,0.707685,0.631497,0.597363,0.605898,0.65725,0.749939
0.925274,0.741206,0.597276,0.489631,0.412613,0.360871,0.330433,0.319269,0.327471,0.356531,0.409088,0.487676,0.591232,0.70848,0.812439,0.87098,0.863292,0.792005,0.681589,0.564495,0.465625,0.393726,0.348169,0.325527,0.322453,0.336059,0.363313,0.401556,0.44779,0.49786,0.546098,0.585558,0.609267,0.612997,0.596873,0.565363,0.525932,0.487207,0.456965,0.439549,0.436827,0.449439,0.47712,0.518056,0.568065,0.622282,0.675902,0.724886,0.766959,0.802532,0.834559,0.865624,0.89683,0.927446,0.954581,0.972944,0.975796,0.95904,0.922739,0.870943,0.810628,0.750192,0.697415,0.656278,0.627532,0.609783,0.599941
0.901122,0.718015,0.573806,0.46317,0.380952,0.322637,0.284824,0.265774,0.265748,0.286334,0.33095,0.404391,0.509652,0.639856,0.768301,0.85596,0.870944,0.808338,0.693461,0.565389,0.455221,0.374091,0.321292,0.292567,0.283887,0.292284,0.315469,0.35204,0.400493,0.457875,0.518466,0.572906,0.609296,0.618718,0.599358,0.557306,0.504052,0.452546,0.41346,0.391724,0.388853,0.40515,0.440075,0.490749,0.549984,0.60892,0.65915,0.695107,0.71635,0.728617,0.74213,0.765046,0.801926,0.85354,0.915696,0.97702,1.01917,1.0273,0.99654,0.93373,0.854649,0.778827,0.723652,0.697574,0.703254,0.74053,0.805906
1.05927,0.799473,0.612024,0.486403,0.40759,0.362931,0.343411,0.342649,0.355537,0.378284,0.40752,0.439523,0.469918,0.49383,0.506638,0.505496,0.490224,0.463353,0.429412,0.393832,0.361619,0.335759,0.317583,0.307493,0.30545,0.311194,0.324317,0.344424,0.370971,0.402944,0.43847,0.474414,0.506412,0.530349,0.543462,0.545028,0.536606,0.521771,0.505141,0.490402,0.480005,0.475427,0.477424,0.486171,0.501399,0.522823,0.550189,0.58318,0.621318,0.663856,0.709649,0.757006,0.803572,0.846278,0.881384,0.904672,0.912204,0.902379,0.876614,0.839035,0.795676,0.753553,0.719326,0.696708,0.686759,0.68856,0.699285
1.1254,0.916557,0.747146,0.611557,0.505311,0.424607,0.366312,0.328238,0.309237,0.308358,0.325326,0.360465,0.413445,0.480453,0.551117,0.611165,0.646695,0.649414,0.62033,0.56931,0.510133,0.453333,0.404988,0.367913,0.343096,0.330857,0.331544,0.345544,0.373261,0.414625,0.467862,0.527452,0.582861,0.622598,0.638437,0.628582,0.598505,0.559014,0.522095,0.495224,0.48177,0.482643,0.497084,0.522429,0.553843,0.586725,0.617651,0.644956,0.669361,0.694458,0.726156,0.769027,0.825051,0.892729,0.965385,1.02905,1.06381,1.05586,1.00447,0.922095,0.829239,0.747916,0.696137,0.682362,0.710537,0.783692,0.902382
