rdev1_1951,rdev1_1952,rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017
0.0244858,0.181048,0.735512,0.381612,-0.307703,-0.665163,-0.668322,0.305616,0.110417,-0.346893,0.357125,0.309745,0.621072,-0.138358,-0.665306,0.255544,-0.431302,-1.21704,0.0834231,-0.0731185,-0.407029,-0.401216,-0.422758,-0.103726,-0.594226,-0.0184665,-0.276094,-0.851596,-0.218704,-0.537328,-0.37481,-0.48989,-0.723545,-0.216033,0.396624,-0.336502,0.39098,-0.746186,0.0578221,-0.46694,0.338249,0.115298,0.387011,-0.286651,0.520584,0.735142,0.853353,0.0805729,0.3967,0.500931,0.784573,0.858275,0.380196,0.29036,0.157148,0.747746,-0.735438,0.614685,-1.24497,0.578692,0.0512999,-0.432712,0.133336,0.250093,0.21866,0.373074,0.79897
0.513116,0.327787,0.847345,0.643662,-0.0704821,-0.556226,-0.0288272,0.0498647,0.299417,-0.427083,0.0390941,0.270188,0.738466,0.118329,-0.52507,-0.619798,0.223948,-1.09313,0.239493,0.198525,-0.204704,-0.276261,-0.242518,-0.0951224,-0.679919,-0.148766,-0.394406,-1.21202,-0.530051,-0.746874,-0.680069,-0.785568,-1.17729,-0.362045,0.170988,-0.418157,0.41876,-0.747718,0.255697,-0.321649,0.552504,0.148256,0.562838,-0.356735,0.457773,0.740456,0.764654,-0.0177821,0.35999,0.509283,0.74212,0.827131,0.274557,0.386978,0.339193,0.929061,-0.654552,0.712155,-1.11779,0.618065,0.159685,-0.436481,-0.0554505,0.0406958,0.0626204,0.0674935,0.52974
0.50106,0.656738,0.845193,0.298332,-0.242581,-0.509227,-0.230978,0.0102243,0.024633,-0.558771,0.385962,0.0928439,0.729571,-0.239746,-0.6779,-0.685186,0.370061,-1.27734,0.103764,0.0973829,-0.234301,-0.462133,-0.33948,-0.215249,-0.681748,-0.179216,-0.55539,-1.20996,-0.599026,-1.0056,-0.939635,-1.05137,-1.20386,-0.546168,0.168017,-0.320844,0.567393,-0.576996,0.519663,-0.0318464,0.898624,0.60609,0.834621,-0.186609,0.533646,0.694078,0.61362,-0.336783,0.0242865,0.232613,0.294403,0.391157,0.0618903,0.276597,0.227945,1.04204,-0.262584,1.01575,-0.656292,1.11245,0.494636,-0.167937,0.240552,0.263395,0.176168,0.271766,0.487845
0.389354,0.28446,0.634284,0.19179,-0.441844,-0.545249,-0.717444,-0.0854044,-0.105852,-0.632196,0.25881,0.0108987,0.495808,-0.420458,-0.500129,-0.653112,0.251339,-1.2527,-0.0892252,0.0427243,-0.297357,-0.524068,-0.256549,-0.244513,-0.613878,-0.188565,-0.444898,-1.00547,-0.604194,-0.77093,-0.624416,-0.721926,-0.834427,-0.259547,0.357515,-0.276675,0.538485,-0.621446,0.503786,-0.118621,0.769339,0.479598,0.858031,0.038561,0.697791,0.887616,0.816931,-0.234466,0.105972,0.156748,0.486675,0.542683,0.137225,0.286802,0.473776,1.03308,-0.232046,0.953862,-0.747802,0.746563,0.241538,-0.412522,-0.00277156,0.109234,0.394466,0.437448,0.74631
0.250041,0.0205789,0.500223,0.386928,-0.330076,-0.552344,-0.842831,-0.0516319,0.049438,-0.514024,0.538698,0.267885,0.562156,-0.205038,-0.445127,-0.943996,0.338083,-2.07993,-0.357562,-0.118118,-0.372535,-0.384488,-0.370351,-0.0544253,-0.483001,-0.0411185,-0.23196,-0.760963,-0.263557,-0.57129,-0.467968,-0.629878,-0.722403,-0.238746,0.236859,-0.411399,0.34604,-0.742613,0.241799,-0.218024,0.649395,0.552252,0.970442,0.0553631,0.799461,1.06961,1.00042,0.066524,0.27889,0.347845,0.508171,0.473992,0.254122,0.158861,0.125403,0.745263,-0.554964,0.635204,-0.996176,0.744884,0.161368,-0.290457,0.220803,0.382795,0.486683,0.304856,0.551206
-0.330338,-0.128473,0.326235,0.185665,-0.381344,-0.826924,-0.907969,0.266125,-0.275033,-0.639178,0.248404,-0.0471291,0.441402,-0.321909,-0.692528,-1.0724,0.41066,-1.18127,0.200863,0.371291,-0.0868152,-0.0813474,-0.182251,-0.176,-0.535209,-0.23567,-0.507975,-1.18553,-0.453013,-0.626505,-0.648275,-0.712243,-0.876041,-0.226935,0.360257,-0.262336,0.593952,-0.544041,0.544751,-0.237796,0.690841,0.399407,0.720169,-0.181804,0.677367,0.964314,0.986854,0.220815,0.447013,0.600807,0.650132,0.785807,0.228316,0.260318,0.303673,0.695575,-0.539744,0.708647,-1.01729,0.768386,0.333541,-0.186865,0.36093,0.260154,0.308543,0.544621,0.486517
-0.327626,-0.0294008,0.334521,0.180124,-0.709625,-0.452295,-0.528021,0.0146556,0.0534878,-0.720474,0.607763,0.168812,0.709701,0.192877,-0.392751,-0.348281,0.187253,-1.40033,-0.095366,0.0580413,-0.273619,-0.415708,-0.110806,0.0323317,-0.486684,-0.0361477,-0.10736,-0.841311,-0.340593,-0.518956,-0.57362,-0.944813,-1.0022,-0.561674,-0.044297,-0.665462,0.270774,-1.00532,0.217548,-0.366093,0.665175,0.324691,0.634478,-0.0947773,0.748928,0.950272,1.1052,0.240355,0.461791,0.657428,0.748808,0.752969,0.243509,0.250745,0.169048,0.686366,-0.455726,0.565781,-1.07224,0.709268,0.251815,-0.141841,0.387822,0.339927,0.35899,0.47503,0.415884
0.298427,0.264798,0.493774,0.359296,-0.294122,-0.592374,-0.668485,-0.157463,0.118178,-0.617488,0.268722,-0.0218334,0.481023,-0.0759771,-0.462842,-0.656835,0.172789,-1.44373,-0.071889,-0.0198309,-0.424349,-0.488459,-0.385503,-0.0683521,-0.589721,-0.135362,-0.287488,-0.819194,-0.413905,-0.693992,-0.554673,-0.791132,-0.894551,-0.218981,0.445526,-0.186855,0.563347,-0.495611,0.35157,-0.245768,0.629804,0.30855,0.676316,-0.204131,0.375454,0.770861,0.726339,-0.0618209,0.197861,0.394664,0.516013,0.550691,0.230055,0.296391,0.16527,0.899669,-0.321007,0.824826,-0.858182,0.819946,0.268546,-0.323232,0.318752,0.155663,0.267722,0.435507,0.844169
0.797901,0.665549,0.73901,0.494715,-0.155862,-0.91363,-0.360294,0.0539163,-0.171642,-0.59044,0.217786,-0.127048,0.449899,-0.349935,-0.58899,0.0243575,-1.32707,-1.46829,-0.437311,-0.266956,-0.39667,-0.587235,-0.359776,-0.207228,-0.675017,-0.176406,-0.324021,-0.950774,-0.447925,-0.534537,-0.53557,-0.564571,-0.825069,-0.206964,0.541848,-0.214549,0.799402,-0.46159,0.557123,0.0289244,0.974821,0.435077,0.820323,-0.135337,0.609922,0.772573,0.819438,-0.0419044,0.299559,0.505048,0.585556,0.565869,0.255628,0.138779,0.213199,0.64722,-0.713942,0.542096,-1.12535,0.652457,0.248755,-0.320906,0.412054,0.261646,0.302444,0.420677,0.612951
0.433545,0.726383,0.757476,0.505857,-0.147804,-0.663939,-0.613332,0.153435,0.212037,-0.588824,0.176311,0.359162,0.588686,-0.179518,-0.227056,0.00127343,-1.10972,-0.994341,-0.259476,-0.11765,-0.463055,-0.42322,-0.463191,0.0166544,-0.554421,-0.129324,-0.339745,-0.832262,-0.423773,-0.51549,-0.491878,-0.736105,-0.888559,-0.379839,0.253041,-0.552448,0.459944,-0.758843,0.21291,-0.258055,0.579681,0.413318,0.673199,-0.139064,0.707949,1.11156,1.0067,0.0241048,0.38649,0.618313,0.648876,0.541872,0.0728469,0.0614329,-0.0583021,0.427881,-0.85767,0.421863,-1.18791,0.852709,0.225136,-0.23412,0.329062,0.369205,0.265383,0.142171,0.887884
