m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017
0.372604,0.379305,0.38282,0.378477,0.364976,0.34449,0.32185,0.303344,0.29538,0.302309,0.327681,0.375443,0.449508,0.550668,0.671278,0.795212,0.900209,0.964258,0.974419,0.932637,0.853866,0.7568,0.657933,0.569082,0.497322,0.44641,0.41827,0.41301,0.430429,0.470364,0.531145,0.60589,0.679095,0.73245,0.75196,0.734074,0.687501,0.629447,0.578001,0.543194,0.528593,0.53434,0.558143,0.594174,0.632052,0.661553,0.675513,0.671782,0.654031,0.630927,0.613186,0.607673,0.617242,0.641516,0.67639,0.712377,0.734721,0.7315,0.698628,0.64115,0.570924,0.502117,0.446301,0.407872,0.386602,0.380112,0.384433
0.550246,0.548757,0.541682,0.521606,0.487291,0.443216,0.397446,0.359043,0.335817,0.331808,0.349691,0.392766,0.464854,0.567236,0.692977,0.826417,0.944631,1.0233,1.04606,1.0118,0.934145,0.832204,0.724054,0.623407,0.538859,0.474929,0.433431,0.4137,0.414327,0.433903,0.470343,0.518883,0.570286,0.614128,0.641766,0.649066,0.638073,0.616638,0.595391,0.581723,0.579277,0.588865,0.608686,0.633717,0.655795,0.667973,0.666653,0.652392,0.629778,0.60649,0.59122,0.589363,0.603104,0.63196,0.672103,0.714562,0.744963,0.75075,0.726134,0.674083,0.604951,0.532466,0.468598,0.418536,0.38255,0.358409,0.342474
0.725451,0.598045,0.493341,0.408511,0.341528,0.29074,0.254857,0.233254,0.226222,0.234534,0.26016,0.306646,0.378438,0.478093,0.601214,0.734792,0.857736,0.945916,0.981141,0.959134,0.890557,0.793518,0.686774,0.585405,0.499203,0.433354,0.389792,0.36762,0.365183,0.381021,0.413344,0.458155,0.507393,0.551754,0.583262,0.597804,0.596896,0.587713,0.580514,0.582556,0.597366,0.625209,0.662525,0.700305,0.724296,0.723293,0.694089,0.642474,0.580736,0.523403,0.482871,0.464856,0.471253,0.502561,0.55754,0.629893,0.704433,0.761924,0.785177,0.765703,0.707633,0.625745,0.537904,0.455806,0.384568,0.325034,0.275797
0.716963,0.537175,0.405219,0.311795,0.24769,0.205432,0.179729,0.167429,0.167343,0.179865,0.20709,0.25286,0.322145,0.418737,0.540739,0.678017,0.811371,0.916042,0.970036,0.963309,0.901761,0.802946,0.688646,0.578079,0.484342,0.414479,0.371157,0.353405,0.359769,0.389586,0.441801,0.511125,0.583677,0.641708,0.670371,0.664536,0.631659,0.588657,0.554289,0.539288,0.547993,0.581029,0.634792,0.697524,0.746803,0.76164,0.733023,0.668327,0.587212,0.512529,0.461956,0.442153,0.454948,0.501522,0.581136,0.683661,0.780569,0.836018,0.825268,0.749903,0.63682,0.521572,0.429948,0.368594,0.334479,0.322076,0.32496
0.670356,0.487394,0.360221,0.278154,0.228806,0.202805,0.194361,0.200483,0.220074,0.253764,0.303252,0.370372,0.455704,0.556531,0.664819,0.767782,0.850295,0.898946,0.906416,0.873998,0.810749,0.72954,0.643375,0.562954,0.495779,0.44668,0.418619,0.412243,0.427401,0.463594,0.518525,0.584627,0.646281,0.68651,0.694174,0.669057,0.62212,0.570961,0.532861,0.516921,0.526652,0.562806,0.622775,0.69631,0.761797,0.796521,0.787169,0.736345,0.661153,0.585102,0.528349,0.499369,0.499917,0.529208,0.583444,0.650908,0.707774,0.730136,0.706294,0.643042,0.561601,0.486936,0.438113,0.422471,0.443171,0.504452,0.610795
0.364434,0.326305,0.291796,0.260559,0.233101,0.210356,0.193475,0.183893,0.18345,0.194009,0.218084,0.259345,0.322365,0.410775,0.523489,0.652768,0.78302,0.89266,0.960182,0.972186,0.928762,0.842665,0.733803,0.622301,0.523579,0.447025,0.396822,0.372433,0.372126,0.394682,0.4387,0.499605,0.566152,0.623975,0.660062,0.667764,0.649975,0.618302,0.587842,0.568526,0.564992,0.578376,0.606774,0.644122,0.679568,0.702843,0.707526,0.69286,0.664033,0.630754,0.604005,0.590435,0.592634,0.610251,0.639819,0.673352,0.698182,0.703452,0.684121,0.642469,0.587048,0.529632,0.481057,0.446403,0.42645,0.419599,0.422435
0.3431,0.297464,0.259278,0.229524,0.208306,0.195495,0.191223,0.196336,0.212763,0.243471,0.292648,0.365387,0.46591,0.593061,0.734042,0.865402,0.959654,0.996347,0.971804,0.900672,0.807317,0.711862,0.626566,0.55727,0.505782,0.471946,0.454932,0.453612,0.466686,0.492322,0.527233,0.565315,0.597333,0.615053,0.614151,0.595613,0.565463,0.533069,0.508273,0.496969,0.501758,0.523164,0.559547,0.605619,0.651357,0.686421,0.703334,0.699736,0.679306,0.650827,0.625053,0.60889,0.605209,0.613828,0.631604,0.651688,0.663899,0.660313,0.638012,0.599662,0.552433,0.505786,0.468557,0.445072,0.436261,0.441068,0.456583
0.495629,0.438448,0.386096,0.336809,0.291522,0.252373,0.221704,0.201807,0.195032,0.203324,0.229684,0.279201,0.358571,0.472251,0.614305,0.765175,0.893923,0.969266,0.975164,0.919465,0.827421,0.723899,0.626131,0.543517,0.479839,0.435849,0.411114,0.404595,0.415267,0.442053,0.482866,0.532745,0.582522,0.622287,0.644483,0.64641,0.631375,0.607899,0.586646,0.574681,0.575225,0.588589,0.612214,0.639753,0.661156,0.668122,0.657017,0.629798,0.593327,0.557504,0.532417,0.523804,0.533955,0.562865,0.607655,0.660228,0.705824,0.729517,0.721738,0.68186,0.61837,0.545258,0.47605,0.417609,0.371391,0.335911,0.308207
0.641561,0.583896,0.525761,0.461628,0.393569,0.327815,0.271173,0.228816,0.203588,0.195656,0.205364,0.234976,0.288753,0.370624,0.478733,0.602743,0.722849,0.814143,0.856681,0.845276,0.790887,0.711181,0.623392,0.540725,0.471515,0.420283,0.389141,0.378114,0.3867,0.41448,0.460266,0.519688,0.582783,0.637418,0.673026,0.684353,0.673806,0.65099,0.628829,0.616122,0.617011,0.632111,0.658582,0.689047,0.711681,0.716791,0.700405,0.665334,0.620088,0.576349,0.545469,0.533356,0.541812,0.569894,0.613049,0.660241,0.693064,0.69607,0.66431,0.605397,0.535622,0.473268,0.432785,0.420268,0.438382,0.489822,0.576342
0.66597,0.565121,0.480386,0.410908,0.355783,0.314138,0.28536,0.269452,0.267258,0.27998,0.309546,0.358639,0.429665,0.521941,0.627743,0.732847,0.819154,0.870031,0.87673,0.842076,0.778442,0.70041,0.620601,0.548165,0.48885,0.446019,0.421614,0.415963,0.428738,0.459167,0.504964,0.559956,0.612382,0.649713,0.663196,0.651199,0.620014,0.581712,0.549585,0.531653,0.53143,0.549732,0.584948,0.631576,0.678985,0.715948,0.733878,0.729276,0.704955,0.66924,0.632752,0.602805,0.583057,0.574614,0.576702,0.586755,0.600461,0.613101,0.619916,0.616394,0.59885,0.565142,0.51556,0.453842,0.386188,0.319347,0.258905
