sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018
57.6198,60.2541,86.7197,121.13,112.674,59.8006,31.5395,44.0172,62.6016,58.2663,55.9733,61.0427,52.5652,50.2627,29.2732,17.6381,14.3778,15.2401,17.1331,27.0377,30.9796,28.8789,33.7271,42.1285,51.8968,62.7895,76.0988,67.2522,65.1145,67.6703,65.341,56.0927,38.4402,31.7767,39.4405,53.4301,50.3987,60.0542,55.7342,61.9687,69.1451,85.6361,92.5859,82.4703,80.665,88.6727,93.9576,90.4749,82.5769,78.4794,98.0177,105.483,105.718,88.286,73.395,58.6109,61.3509,39.6171,43.9109,36.8429,56.5135,62.0299,62.6274,77.0719,83.3898,101.558,122.696,168.044
77.5216,73.5395,83.4904,96.5469,85.3585,49.008,25.985,42.0479,47.8322,51.3706,44.4511,43.1966,42.1054,49.0959,31.517,13.8006,7.18701,15.1246,17.3501,27.7182,32.2054,28.8854,33.2827,40.942,48.1138,54.912,63.3081,55.0352,49.4436,51.6716,51.289,45.7554,31.6737,27.2303,37.2464,53.417,53.4588,65.1933,60.5338,67.8902,74.8087,90.116,92.7488,82.0524,76.6066,83.0467,89.5806,86.0915,78.7822,77.564,99.023,106.728,107.574,88.5767,76.8584,66.0178,71.9004,46.1347,48.2517,39.0402,56.631,60.9706,58.0029,63.876,65.8755,79.4583,94.4357,138.097
64.0496,53.5123,77.3412,94.4094,82.2163,43.9181,22.1175,36.5076,43.7387,40.6425,37.276,46.2965,38.4014,44.5666,23.8775,9.55771,7.11177,16.6481,16.9647,25.099,28.9893,24.9902,27.9407,34.7415,41.1854,49.0131,57.266,47.7192,43.2486,45.8181,43.9916,38.2414,25.7715,23.1114,32.3938,50.9459,55.2615,71.2454,68.2163,78.3632,88.1288,109.059,110.139,89.2452,74.2697,70.8905,70.3616,63.007,56.0325,54.3381,73.0882,77.8744,82.8471,76.4117,74.1161,69.2481,80.9096,54.0971,55.156,45.1514,64.1604,63.7777,58.1299,65.8327,68.8117,84.9358,106.285,152.853
46.2723,39.6662,61.2635,82.1973,73.3499,38.1546,22.3286,32.3556,39.0794,40.1651,41.74,46.2916,41.4402,38.0799,19.8278,8.15199,7.39683,16.9132,16.3676,22.3197,25.9308,22.9762,25.7338,34.2376,41.5223,50.507,60.0738,53.7358,50.4839,52.2522,51.2175,45.8622,31.9222,27.8904,36.4371,52.4864,53.5802,66.8393,66.2011,79.9965,89.6783,109.316,109.828,92.5629,79.494,77.1358,76.2067,69.6272,62.1906,59.7365,79.6379,92.1942,100.14,90.3131,82.8954,72.7059,74.53,46.227,44.7225,34.0753,49.2374,54.3642,53.0665,61.6563,69.4644,97.3123,122.895,169.583
41.9715,36.605,55.5654,77.3653,78.6906,45.595,24.6648,32.4895,43.3851,43.6504,42.504,55.025,46.5766,39.492,20.6273,6.22389,5.74357,14.6776,13.482,20.4673,26.6049,25.9598,31.1965,39.5577,49.2351,60.1504,69.6155,61.0551,57.4519,59.0779,56.4411,48.1305,32.8806,27.9124,34.5079,47.9762,47.4408,58.7117,57.7821,69.6904,80.701,103.058,114.464,103.003,87.7669,86.1885,85.5263,77.2959,68.1089,64.2156,81.365,87.6284,90.4879,82.3566,71.7847,59.4607,62.555,41.0025,42.8843,37.2606,58.8966,66.0454,67.2602,77.7917,81.2615,88.0038,75.7543,81.4731
42.0643,38.511,59.4192,68.8637,70.4911,37.6813,15.4841,26.1908,47.9144,40.5365,41.4716,49.7691,44.4424,34.0963,20.1203,5.25286,6.40348,17.387,18.7122,28.6332,33.6737,30.2518,33.9412,38.7554,43.3754,50.147,56.3288,48.564,45.8516,51.0422,53.4972,47.931,34.0232,29.9617,38.8626,54.4213,54.3471,67.6115,64.9018,76.5401,81.4863,98.2654,101.128,87.6603,79.3938,85.5342,91.2919,86.8712,77.953,73.6564,88.5856,88.9497,88.0957,72.1146,63.7065,55.0079,58.4354,40.1399,44.4571,38.4376,59.2097,66.0374,65.4844,76.5297,73.1328,85.8061,98.3123,120.464
32.0185,29.7379,56.3908,73.7492,71.3268,37.185,21.8917,34.0805,44.5131,41.2795,41.0682,48.4647,37.9225,40.9739,25.339,7.63712,5.0305,11.0818,12.5902,21.7738,29.3829,28.9641,34.6872,46.1368,54.8805,61.3193,66.5457,58.322,52.1353,51.1024,48.5619,39.9434,24.504,20.5968,26.8972,40.1335,41.3051,54.7458,54.1893,65.9667,77.0333,99.7461,105.845,93.5042,87.8788,92.968,97.3174,92.5574,81.1041,73.9666,90.0229,89.9217,86.5059,71.4281,61.3212,52.4497,58.9483,41.8858,45.0989,39.2785,60.5028,67.2116,68.4577,80.4226,78.5061,88.6063,93.0938,108.112
47.8275,49.5597,71.5961,86.383,85.2927,48.3911,24.783,32.7447,44.186,47.841,48.4408,49.9159,41.0122,37.865,27.1246,11.0039,6.03427,12.9684,13.796,22.1926,27.7665,26.0633,30.6621,39.6368,49.3928,58.72,66.835,58.4211,55.6129,56.1943,54.1608,46.5464,32.0718,28.5941,40.1292,60.1133,60.7008,73.3702,67.6552,72.8149,77.0124,90.6507,93.9136,83.475,73.673,75.0824,80.4577,77.4009,71.5448,69.2824,85.5961,89.399,88.0221,78.8852,70.0623,60.9787,69.3405,47.4171,50.7288,42.1062,60.1544,63.1849,61.3511,73.3464,74.6134,94.6254,126.95,184.615
73.1847,76.0465,91.3643,96.8466,81.3346,47.8061,19.3402,35.4179,49.021,40.6093,37.8408,44.8667,45.1193,36.7252,23.8323,15.7778,9.68917,9.46944,11.9709,19.4772,25.4038,24.6002,29.5879,38.8752,46.538,55.3399,64.207,57.4533,54.93,57.9418,59.3794,53.4739,38.012,32.6361,43.3019,61.8304,61.9952,77.7758,71.1299,78.8707,89.538,110.561,106.96,90.5755,78.339,79.4044,80.4255,76.0661,69.0031,69.0255,90.5244,93.9035,91.1951,79.2781,67.1433,56.3963,58.2448,38.5154,41.7341,36.6931,59.6574,69.3763,71.5072,87.8737,82.8561,86.0784,80.2641,90.8273
51.1399,48.1922,78.7063,91.5923,85.5985,48.0509,23.1239,32.2367,47.2826,54.0501,44.843,45.1678,46.9623,40.2744,25.6762,16.4244,7.79615,9.23576,14.1144,23.3181,29.9343,28.2806,33.5338,42.1107,52.7858,62.5482,68.6508,59.5864,54.7548,55.6958,54.5446,47.4708,32.5057,26.7373,34.8507,49.8463,49.4784,63.3994,60.5222,69.6939,79.4389,99.8741,106.946,94.296,86.1584,94.4992,101.666,88.4515,72.458,66.9315,83.9001,83.923,78.7153,66.3619,59.835,50.6293,56.2139,39.3443,43.177,40.1467,64.5416,66.2811,63.3787,74.659,81.3104,101.068,130.621,204.664
37.5572,31.4501,58.1136,82.0936,77.8554,42.7143,22.263,33.5317,53.3655,44.8692,44.5418,51.1628,43.4081,32.947,20.5258,11.2019,7.46702,13.9586,15.4192,24.0695,32.4029,34.4674,42.8553,56.05,67.5618,78.4897,88.0781,74.1332,65.6319,58.7961,51.8591,44.163,30.5186,27.4159,39.7905,58.7426,60.61,77.0759,70.1961,75.1861,77.0358,89.7776,90.0001,76.9646,70.0197,72.0036,83.549,81.7239,74.0002,72.6352,92.3965,92.6082,86.6083,70.9323,60.5598,48.6646,52.4619,36.5848,42.9477,39.1356,61.8084,65.9171,63.2775,75.5224,91.3312,125.897,175.015,244.584
