ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
1736.89,0.776392,0.408363,1124.66,151.043,0.324817,1.63254, 294.809, 137.071,0.98928,0.995854,93.4701,2.70855,0.316676,2.88493,0.323678,4.66029,0.402479,2.055,0.05,2.055,0.05,-1295.26
1770.8,0.70506,0.551976,1084.42,256.214,0.320054,1.29419, 197.215, 146.574,0.965385,1.01442,110.796,2.647,0.299898,2.89522,0.320934,4.71636,0.407706,2.055,0.05,2.055,0.05,-1280.01
1251.14,0.771067,0.57605,1032.16,511.283,0.272489,1.8131, 180.439, 110.323,1.03615,1.01207,108.923,2.66054,0.316808,2.8861,0.32823,4.62234,0.398487,2.055,0.05,2.055,0.05,-1303.14
1508.76,0.808683,0.526463,1186.24,389.449,0.316557,1.70834, 162.035, 115.012,0.874554,0.997415,75.4458,2.73418,0.336597,2.88594,0.330941,4.65979,0.405551,2.055,0.05,2.055,0.05,-1300.46
1805.92,0.664176,0.366859,1034.18,133.395,0.260115,1.6502, 254.764, 158.388,1.04186,0.990257,118.61,2.61262,0.284814,2.86675,0.33158,4.66473,0.403688,2.055,0.05,2.055,0.05,-1315
1604.91,0.734938,0.445196,1030.35,227.165,0.284554,1.52199, 204.391, 146.123,0.998067,1.00967,107.852,2.69665,0.318269,2.93301,0.351295,4.68045,0.400842,2.055,0.05,2.055,0.05,-1295.02
1999.38,0.720351,0.35857,1131.17,111.222,0.312873,1.46554, 432.356, 157.731,0.93816,1.01272,135.574,2.71508,0.309957,2.90287,0.328704,4.69317,0.392259,2.055,0.05,2.055,0.05,-1293.81
1435.43,0.849319,0.231361,1026.71,24.7223,0.274063,1.45287, 215.542, 123.773,1.0563,1.0051,109.852,2.63982,0.296187,2.96294,0.370919,4.68284,0.40644,2.055,0.05,2.055,0.05,-1301.03
1668.59,0.86521,0.477176,1152.62,202.983,0.285941,1.61214, 186.067, 128.431,0.968579,1.00943,114.133,2.65224,0.289998,2.91666,0.342183,4.64916,0.394321,2.055,0.05,2.055,0.05,-1300.04
1461.57,0.840203,0.268084,1082.68,50.8644,0.299233,1.56971, 232.098, 124.187,0.982078,1.01303,128.338,2.63176,0.297346,2.86498,0.320537,4.70168,0.413065,2.055,0.05,2.055,0.05,-1311.2
1705.32,0.693086,0.45206,1065.41,201.482,0.263263,1.50568, 213.208, 140.37,1.09261,0.981508,94.1422,2.64767,0.302063,2.95771,0.358281,4.67794,0.398128,2.055,0.05,2.055,0.05,-1301.12
1619.39,0.733816,0.304285,1065.99,33.3471,0.296065,1.74455, 300.433, 141.85,1.01445,1.01233,125.725,2.67189,0.305622,2.93022,0.33674,4.64052,0.386356,2.055,0.05,2.055,0.05,-1312.41
1698.6,0.593349,0.409905,986.2,132.774,0.303436,1.54778, 290.547, 162.663,1.04468,1.00035,122.762,2.65064,0.29858,2.92027,0.334855,4.71029,0.400462,2.055,0.05,2.055,0.05,-1304.54
1416.57,0.735054,0.768057,1094.18,498.856,0.281077,1.52974, 128.08, 115.443,1.02758,1,82.6441,2.64873,0.291309,2.89934,0.331871,4.67234,0.400832,2.055,0.05,2.055,0.05,-1288.65
1220.85,0.899763,0.449028,1143.6,94.8945,0.29887,1.80831, 129.608, 92.6584,1.01757,0.991176,93.8757,2.64114,0.27177,2.97078,0.346102,4.67153,0.398947,2.055,0.05,2.055,0.05,-1279.49
1392.57,0.658941,0.366522,1114.77,31.6036,0.370062,1.93458, 186.63, 109.28,0.977754,0.996101,157.893,2.65189,0.299367,2.89577,0.331992,4.76073,0.413608,2.055,0.05,2.055,0.05,-1287.21
1417.45,0.647345,0.694096,1064.04,122.472,0.21318,1.56753, 123.05, 121.194,1.05446,0.986041,87.2057,2.68107,0.310813,2.92835,0.339676,4.68835,0.413028,2.055,0.05,2.055,0.05,-1285.29
1447.38,0.77087,0.504944,945.532,143.138,0.255639,1.63983, 142.006, 143.613,1.15275,1.00262,86.5776,2.58612,0.267635,2.83467,0.316156,4.66202,0.40357,2.055,0.05,2.055,0.05,-1308.52
1271.23,0.795117,0.338027,997.307,75.0981,0.253644,1.45606, 165.374, 122.815,1.03886,0.997915,124.525,2.65599,0.298276,2.86385,0.331322,4.64808,0.400046,2.055,0.05,2.055,0.05,-1322.38
1717.85,0.768928,0.618758,1040.14,313.696,0.213216,1.29569, 207.287, 152.638,1.00093,0.996047,116.604,2.68158,0.317692,2.88131,0.337876,4.70793,0.408902,2.055,0.05,2.055,0.05,-1299.66
1658.23,0.759877,0.474525,1086.16,121.826,0.24985,1.50971, 179.712, 143.04,0.973118,1.00505,119.199,2.63703,0.284706,2.96497,0.349277,4.6486,0.387972,2.055,0.05,2.055,0.05,-1308.44
1546.48,0.713134,0.525493,1038.55,130.805,0.280703,1.39838, 244.408, 129.231,1.06801,0.994998,89.3259,2.70111,0.327249,2.91641,0.34213,4.7266,0.411867,2.055,0.05,2.055,0.05,-1323.14
1710.82,0.787502,0.431974,988.74,133.489,0.29317,1.51311, 250.645, 161.621,1.09568,0.999618,181.738,2.6738,0.308956,2.89033,0.325408,4.66096,0.397088,2.055,0.05,2.055,0.05,-1279.55
1592.96,0.717423,0.527691,1119.98,175.203,0.318885,1.48392, 127.356, 121.055,1.00466,1.00236,80.4367,2.69033,0.306933,2.9198,0.33675,4.6742,0.404481,2.055,0.05,2.055,0.05,-1291.11
1539.16,0.783267,0.507866,1091.17,148.967,0.358593,1.83021, 213.364, 131.853,0.958288,1.01273,120.718,2.68213,0.307204,2.96928,0.344573,4.68792,0.407481,2.055,0.05,2.055,0.05,-1291.68
1466.08,0.767373,0.307994,1091.03,57.3886,0.211358,1.57708, 157.741, 122.731,1.0188,0.99752,146.435,2.75262,0.31762,2.92783,0.344837,4.67248,0.401973,2.055,0.05,2.055,0.05,-1304.65
1721.86,0.537593,0.327137,1087.83,83.3025,0.27407,1.60548, 274.094, 149.116,0.896257,1.00865,158.952,2.76127,0.324128,2.92608,0.34472,4.65137,0.407231,2.055,0.05,2.055,0.05,-1285.79
1472.44,0.826133,0.470365,1149.39,137.863,0.273373,1.62336, 153.884, 121.568,0.896042,1.02183,92.5894,2.69349,0.316507,2.88206,0.331539,4.618,0.401495,2.055,0.05,2.055,0.05,-1293.67
1369.67,0.802115,0.593954,1029.09,171.744,0.285515,1.36677, 159.801, 124.527,1.06871,1.00307,101.814,2.67027,0.311477,2.88736,0.335933,4.67937,0.41029,2.055,0.05,2.055,0.05,-1287.95
1429.54,0.795442,0.339777,983.193,104.282,0.238818,1.317, 226.495, 128.862,1.17464,0.999949,122.793,2.67758,0.307071,2.88698,0.338302,4.61388,0.388728,2.055,0.05,2.055,0.05,-1300.6
2211.56,0.624109,0.326129,906.945,142.781,0.212705,1.64936, 306.683, 226.737,1.24842,0.994882,137.88,2.57989,0.277835,2.85069,0.321931,4.76131,0.420634,2.055,0.05,2.055,0.05,-1292.31
1954.47,0.709968,0.458242,1017.64,167.48,0.211687,1.59375, 265.713, 185.178,1.08212,0.992039,125.048,2.59574,0.274212,2.92902,0.343235,4.72594,0.41399,2.055,0.05,2.055,0.05,-1324
1820.83,0.738972,0.343795,899.109,82.8997,0.20613,1.50399, 391.55, 192.577,1.20937,1.00596,145.491,2.55643,0.261066,2.83774,0.325686,4.60907,0.404818,2.055,0.05,2.055,0.05,-1308.36
