rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017
1858.04,1193.67,633.431,571.204,480.848,904.689,886.378,523.638,1276.41,996.147,1617.77,647.124,597.567,512.799,1266.91,281.545,901.239,1028.36,731.896,583.432,762.381,771.613,533.318,816.013,631.5,360.512,538.507,455.805,527.727,478.698,427.763,760.099,1408.82,747.191,1688.3,529.297,1630.73,875.132,2126.72,1591.76,2323.96,1024.09,1979.87,2393.74,2230.38,779.404,1095.5,1152.56,1603.06,1695.41,1130.28,1312.64,1582.52,2768.55,781.293,2557.68,466.47,2078.83,1254.55,652.28,982.622,1099.08,1461.86,1526.06,2078.3
1674.53,1495.16,729.958,584.478,437.131,964.327,1066.89,607.31,1740.21,1327.36,1781.51,827.182,650.627,395.071,1423.89,126.866,710.168,902.298,699.614,691.301,701.143,961.637,626.446,974.519,805.21,474.423,780.166,573.508,635.934,540.873,493.074,799.764,1286.81,672.945,1435.26,483.209,1293.18,816.51,1943.91,1763.96,2679.82,1073.23,2258.65,2959.2,2761.36,1085.27,1342.05,1437.86,1687.89,1631.17,1309.22,1190.26,1151.09,2139.5,582.949,1916.52,374.985,2138.69,1193.24,759.458,1266.31,1489,1652.01,1377.35,1762.11
1372.02,1192.1,676.183,433.063,399.35,1291.98,752.029,522.503,1269.29,944.522,1539.5,717.591,495.357,338.798,1492.89,303.852,1210.36,1435.26,907.772,912.749,825.143,830.318,579.751,782.221,595.757,302.559,629.418,529.166,517.771,485.687,412.307,789.084,1419.51,761.639,1793.21,574.654,1707.11,780.56,1975.64,1476.18,2034.44,825.512,1949.2,2597.03,2656.23,1234.75,1548.16,1805.54,1896.83,2172.46,1244.05,1284.5,1341.42,1985.02,577.128,2011.14,357.993,2134.94,1382.09,821.344,1420.46,1284.29,1347.96,1706.89,1610.54
1367.94,1172.23,481.503,622.811,577.39,993.46,1032.8,476.308,1797.77,1159.04,1990.69,1187.27,661.022,691.081,1180.62,241.339,889.956,1037.51,744.653,646.02,876.321,1011.18,601.757,944.249,879.345,422.094,696.415,582.648,551.652,380.591,359.366,558.282,936.586,503.244,1283.46,358.244,1216.93,678.88,1904,1354.56,1846.44,890.48,2070.34,2532.11,2956.44,1245,1553.6,1889.31,2070.09,2078.72,1248.94,1258.01,1159.32,1944.78,620.678,1723.86,335.056,1989.83,1259.35,849.542,1442.83,1375.35,1401.82,1574.3,1483.89
1652.34,1444.43,751.484,557.687,516.816,861.529,1134.96,543.855,1319.35,986.673,1631.4,934.671,634.813,522.872,1198.66,238.042,938.5,988.65,659.725,618.757,685.856,941.825,559.168,880.782,756.486,444.512,666.651,503.8,579.114,457.163,412.246,810.127,1574.51,836.576,1771.39,614.347,1433.31,788.714,1893.11,1372.96,1983.24,822.247,1467.96,2179.9,2084.97,947.996,1229.09,1496.43,1689.5,1749.11,1269.31,1356.36,1189.68,2479.57,731.549,2300.77,427.515,2289.57,1319.12,729.923,1387.03,1178.31,1318.03,1558.81,2345.7
2143.26,1678.72,875.864,410.527,713.925,1080.29,862.151,567.155,1272.65,901.468,1605.15,721.359,567.978,1048.83,271.511,235.752,661.005,783.77,688.422,568.976,714.295,832.01,521.159,858.053,740.297,395.558,654.026,599.763,599.144,582.018,448.543,832.23,1759.74,825.941,2276.68,645.15,1786.83,1053.63,2713.22,1581.53,2324.81,894.026,1883.7,2216.41,2322.76,981.584,1381.09,1696.16,1838.36,1802.52,1321.73,1175.97,1266.83,1955.29,501.263,1760.17,332.194,1965.55,1312.68,742.607,1545.54,1329.71,1385.08,1558.92,1889.42
2217.16,1723.93,896.684,535.162,562.942,1211.9,1285.04,576.908,1239.94,1488.72,1872.81,868.693,828.364,1040.84,342.676,384.586,801.938,924.134,654.226,680.813,654.137,1056.97,597.101,913.409,740.083,452.255,680.437,620.806,635.638,497.902,427.498,710.998,1338.83,598.281,1646.57,486.708,1286.16,803.079,1856.02,1571.56,2037.96,904.555,2110.03,3159.19,2844.69,1064.87,1529.96,1929.12,1988.99,1787.15,1118.06,1105.38,980.64,1594.62,440.909,1585.05,316.902,2438.69,1301.98,822.533,1444.57,1503.74,1355.45,1198.32,2526
1466.48,1015.14,592.627,424.82,414.384,1104.99,840.609,571.52,1390.81,1108.14,1476.52,900.147,631.085,712.782,907.12,252.659,770.42,897.789,840.794,741.411,976.539,1418.23,895.741,1525.56,1183.25,623.012,820.388,617.247,628.957,518.09,374.889,778.03,1426.02,687.986,2108.94,651.21,1738,954.936,2101.04,1560.23,1912.44,837.378,1265.55,2272.8,2150.61,991.075,1464.46,1928.22,2136.48,2022.28,1229.75,1183.46,988.9,1588.99,376.464,1693.84,341.648,2172.79,1332.37,721.015,1267.34,1612.57,1486.11,1762.15,1971.64
2058.94,1307.84,823.042,439.365,664.913,1136.35,1151.24,704.917,1420.25,1261.92,1541.18,959.392,764.315,741.964,629.416,291.154,1415.92,1510.58,982.31,1071.65,1185.2,1577.47,979.134,1239.88,959.923,554.886,839.587,673.122,772.478,644.441,508.676,888.128,1528.65,801.186,1887.01,601.403,1526.17,840.751,2238.94,1510.57,2197.89,1047.09,1928.08,2454.63,2453.55,1144.76,1602.11,1893.31,2220.27,2098.45,1502.27,1305.44,1215.75,1997.17,469.75,1815.52,342.58,2117.71,1077.85,723.41,1193.29,1410.89,1656.93,1617.91,2635.73
1703.45,1622.41,683.984,476.324,733.144,1059.32,1152.52,466.715,1285.27,1336.95,1391.73,804.918,653.231,711.188,878.656,353.116,1212.05,1142.1,904.286,795.577,874.033,1142.31,639.327,957.97,797.319,329.852,538.474,456.359,493.972,372.763,317.728,549.807,1155.83,617.637,1550.87,492.791,1433.95,793.932,2221.07,1490.65,2010.31,938.204,1887.47,2698.26,2587.44,1217.02,1693.24,2104.76,2150.2,2204.96,1637.99,1387.93,1223.98,2060.49,443.864,2063.78,380.93,2340.6,1633.25,802.963,1389.24,1423.04,1291.35,1416.09,1833.85
