"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
394.913,287.771,737.733,273.281,414.011,524.646,499.677,919.866,577.945,529.672,950.189,444.336,716.961,373.227,89.662,398.491,295.653,25.5975,267.176,451.757,392.099,503.32,541.536,957.213,443.918,388.712,522.256,192.577,509.152,362.074,228.071,193.095,306.934,644.113,673.903,272.906,1132.19,217.229,232.238,168.047,414.551,281.139,302.019,147.109,213.777,839.113,322.58,185.029,193.486,260.398,406.972,395.068,226.862,239.396,142.566,256.806,133.658,282.011,148.654,409.234,103.5,121.226,331.011,206.588,681.597,186.002,332.256,371.183
487.971,531.727,799.527,255.54,378.938,343.566,426.787,945.657,479.816,385.577,752.068,305.157,530.432,252.751,77.9579,489.018,224.48,138.92,324.047,440.221,477.974,404.957,560.44,646.295,264.85,190.695,379.336,120.911,386.472,336.114,252.753,231.101,512.413,1117.02,1027.99,311.488,1203.28,233.466,189.72,145.384,378.33,309.738,244.887,144.979,227.193,1125.76,372.647,244.389,258.054,322.946,517.273,553.483,194.989,249.717,167.784,323.968,132.587,304.703,117.845,343.962,92.3743,101.526,264.578,176.393,615.522,166.704,185.992,230.014
411.546,271.608,535.903,204.994,242.76,316.023,261.155,776.889,532.928,392.249,522.356,341.503,574.273,225.376,63.8142,463.827,298.485,61.6442,309.915,428.229,387.296,417.013,439.681,696.108,307.595,240.004,359.145,163.085,362.863,345.742,226.417,222.268,376.261,913.243,977.12,284.505,1239.61,242.225,232.596,172.581,448.667,307.874,292.191,160.466,185.843,973.273,391.336,245.12,259.958,407.124,547.147,591.255,210.052,283.348,234.459,383.923,146.691,242.55,144.221,343.748,105.909,128.977,311.336,234.442,804.887,190.45,258.628,341.055
376.935,378.679,783.323,452.162,653.028,787.741,502.225,833.87,707.957,449.896,864.202,355.565,1063.69,354.913,170.742,295.683,692.651,269.049,597.704,1031.09,768.023,760.018,948.999,1216.33,545.473,373.344,670.261,274.306,654.216,427,265.389,226.199,397.523,814.724,909.782,296.383,1751.63,239.538,298.968,213.939,545.396,406.156,380.447,165.163,234.914,1332.17,448.572,263.335,341.183,350.012,484.562,441.661,237.299,240.463,105.355,172.059,92.6083,165.8,94.0148,304.13,85.9819,129.534,365.016,240.781,766.364,161.047,184.003,417.716
389.362,561.267,671.968,381.117,565.466,606.951,417.002,1118.54,730.084,411.392,859.435,324.812,837.951,199.608,73.1384,444.557,289.673,178.707,297.02,548.726,602.907,549.167,686.367,961.25,360.107,241.536,378.25,128.433,383.324,241.163,161.016,147.816,255.991,520.887,690.563,234.23,1199.97,221.741,251.772,182.066,535.228,338.667,363.368,135.707,211.218,1203.2,492.838,310.117,278.59,444.902,625.961,499.206,307.164,334.807,182.344,286.257,133.405,221.368,125.704,305.369,82.349,100.913,222.918,198.019,560.881,150.669,182.06,358.349
524.732,298.149,679.607,251.422,348.779,529.989,327.979,834.02,607.996,357.89,801.754,387.737,677.273,231.029,94.7415,538.606,282.858,93.7583,254.279,593.502,525.909,522.463,583.385,768.212,319.885,208.089,323.765,116.619,262.753,179.785,141.27,133.397,247.882,636.331,713.719,282.591,1139.37,270.747,285.765,217.952,554.03,334.395,360.713,186.791,278.265,1266.8,511.74,308.47,333.661,526.865,564.934,599.137,328.06,328.685,246.948,287.493,139.724,212.722,104.035,362.781,70.1773,76.4748,235.338,202.735,611.953,182.18,218.398,358.52
526.786,323.237,507.357,219.421,463.874,468.792,503.168,761.186,618.269,298.132,886.785,288.913,837.345,463.832,63.2377,785.156,241.424,79.0771,352.331,468.253,497.199,383.798,585.322,748.007,330.612,233.014,351.836,123.406,249.477,266.848,130.059,142.709,241.896,656.343,749.914,327.082,1509.59,296.92,379.264,257.359,663.565,411.893,335.976,152.309,202.663,1104.19,355.148,164.283,187.998,309.413,413.512,387.675,270.541,213.889,174.533,244.949,140.151,228.425,142.967,360.401,119.832,128.971,299.986,224.854,636.989,213.104,243.617,428.867
402.089,480.575,866.97,325.12,469.227,728.996,492.702,1153.24,633.104,364.345,1010.96,451.234,989.218,359.376,125.556,296.927,234.374,122.802,285.744,633.84,470.17,428.681,688.917,890.32,352.351,249.878,344.848,121.816,285.31,243.432,134.232,122.042,244.938,528.077,796.81,311.28,1344.33,300.707,336.569,230.817,538.283,297.166,264.295,142.222,176.629,786.018,272.787,145.199,163.452,303.227,394.346,419.934,167.384,227.056,183.315,334.266,150.099,328.946,184.185,439.005,97.6918,96.448,269.839,208.073,628.064,149.617,184.269,358.533
710.829,435.32,711.146,372.195,473.857,421.962,401.799,1144.81,473.291,480.207,719.019,335.65,999.976,233.456,142.12,432.619,274.795,194.299,480.002,656.193,441.379,398.932,516.327,774.934,288.059,198.005,326.135,92.9608,256.497,165.492,146.054,132.507,262.857,649.648,975.779,316.313,1487.69,301.3,368.73,188.333,512.807,363.014,277.973,177.884,196.587,721.061,335.767,201.129,197.014,296.053,467.127,435.676,227.451,230.717,166.847,332.776,100.488,225.501,114.452,303.648,66.4756,130.525,338.409,174.242,584.802,123.991,158.818,425.642
316.339,324.859,860.839,417.696,588.336,595.868,478.911,1235.57,627.423,456.97,1109.97,598.75,1202.95,256.021,141.299,439.958,466.623,92.545,487.378,672.38,519.536,437.684,666.288,725.844,290.711,258.237,406.455,132.705,422.394,303.326,239.087,211.451,444.731,839.965,932.875,310.748,1274.98,229.105,271.069,187.488,562.659,355.967,366.847,139.275,282.009,1145.77,392.792,206.397,251.368,323.423,476.281,442.012,228.036,233.305,159.532,281.607,132.723,307.083,158.207,413.678,103.203,131.333,243.603,158.381,674.62,160.025,106.218,307.044
