"M_1951","M_1952","M_1953","M_1954","M_1955","M_1956","M_1957","M_1958","M_1959","M_1960","M_1961","M_1962","M_1963","M_1964","M_1965","M_1966","M_1967","M_1968","M_1969","M_1970","M_1971","M_1972","M_1973","M_1974","M_1975","M_1976","M_1977","M_1978","M_1979","M_1980","M_1981","M_1982","M_1983","M_1984","M_1985","M_1986","M_1987","M_1988","M_1989","M_1990","M_1991","M_1992","M_1993","M_1994","M_1995","M_1996","M_1997","M_1998","M_1999","M_2000","M_2001","M_2002","M_2003","M_2004","M_2005","M_2006","M_2007","M_2008","M_2009","M_2010","M_2011","M_2012","M_2013","M_2014","M_2015","M_2016","M_2017"
0.64084,0.508749,0.404143,0.322513,0.2606,0.215762,0.185966,0.170201,0.168912,0.183712,0.218412,0.279401,0.373606,0.500646,0.639339,0.748834,0.787537,0.740575,0.630765,0.501372,0.388122,0.303965,0.247967,0.215021,0.200456,0.201408,0.216886,0.247784,0.296198,0.364016,0.45024,0.546627,0.634506,0.691616,0.702785,0.668053,0.602547,0.528666,0.465983,0.423404,0.402952,0.404116,0.425474,0.463912,0.513051,0.565663,0.614961,0.656081,0.687897,0.714316,0.743422,0.781742,0.832399,0.894225,0.959997,1.01417,1.03494,1.00925,0.940207,0.84528,0.748679,0.673942,0.639942,0.657723,0.739011,0.902428,1.17194
0.400014,0.43627,0.468554,0.484514,0.477506,0.449488,0.410044,0.372376,0.348583,0.345014,0.365272,0.412754,0.489908,0.592853,0.703343,0.793093,0.834541,0.814799,0.743235,0.645878,0.550432,0.472016,0.415237,0.379596,0.362951,0.362998,0.377655,0.405567,0.445497,0.495308,0.550794,0.604528,0.646113,0.666541,0.661714,0.633972,0.591277,0.544671,0.504783,0.477626,0.465613,0.469253,0.487841,0.519082,0.558575,0.601776,0.644743,0.684697,0.720779,0.754745,0.790615,0.831232,0.876908,0.924688,0.967461,0.99337,0.988392,0.946382,0.872538,0.780957,0.689322,0.614159,0.567819,0.555354,0.579019,0.641024,0.741963
0.524902,0.519182,0.50928,0.489792,0.4601,0.423827,0.387327,0.35803,0.342866,0.345766,0.36925,0.415441,0.484691,0.571006,0.656769,0.718443,0.736211,0.703851,0.632234,0.543322,0.458661,0.389442,0.338654,0.305396,0.287594,0.283209,0.290604,0.308866,0.337394,0.375188,0.419926,0.466868,0.508549,0.537515,0.548864,0.541935,0.520626,0.492247,0.46507,0.444668,0.433974,0.434266,0.445749,0.467599,0.497901,0.534824,0.576857,0.622857,0.672239,0.725288,0.783067,0.845676,0.91125,0.975235,1.02974,1.06341,1.06396,1.02649,0.956297,0.866746,0.774737,0.696514,0.644591,0.624106,0.636403,0.681439,0.756669
0.544394,0.488932,0.438854,0.393936,0.354888,0.322904,0.299478,0.28654,0.286566,0.301706,0.334207,0.386297,0.458515,0.545772,0.633066,0.699641,0.726712,0.706056,0.644313,0.55948,0.471629,0.393587,0.330816,0.284253,0.252841,0.23521,0.230519,0.238527,0.259655,0.294607,0.3432,0.402062,0.462377,0.51261,0.542542,0.547444,0.530329,0.500872,0.471139,0.449236,0.439255,0.44283,0.45999,0.489006,0.526059,0.567291,0.609551,0.650897,0.691293,0.733321,0.781913,0.840712,0.910387,0.987265,1.06141,1.11496,1.12553,1.08194,0.991017,0.874089,0.757614,0.665041,0.61279,0.607659,0.654909,0.763183,0.942376
0.641823,0.545551,0.464408,0.397721,0.345041,0.306058,0.280824,0.270299,0.276845,0.303594,0.355037,0.436524,0.55068,0.688533,0.819293,0.900307,0.899762,0.817329,0.684453,0.543893,0.426654,0.341773,0.286395,0.254677,0.241435,0.242747,0.255485,0.277666,0.30781,0.344252,0.384684,0.425927,0.464102,0.495503,0.517494,0.52921,0.531883,0.528735,0.52415,0.521624,0.523348,0.53034,0.542512,0.55856,0.576152,0.59349,0.609867,0.625845,0.643437,0.666317,0.699452,0.746386,0.808151,0.882077,0.959699,1.02441,1.0535,1.03255,0.963487,0.863382,0.756817,0.667499,0.612834,0.599909,0.632466,0.715314,0.85252
0.581356,0.558837,0.534407,0.505016,0.471093,0.435735,0.403663,0.38044,0.37167,0.380908,0.410616,0.462534,0.535868,0.622686,0.703519,0.754607,0.758263,0.711811,0.629103,0.53313,0.444683,0.373664,0.321978,0.287988,0.26916,0.263151,0.268118,0.283033,0.307327,0.340312,0.380478,0.424633,0.467503,0.503344,0.527525,0.537869,0.535409,0.524273,0.510332,0.498236,0.490886,0.489752,0.495128,0.506192,0.521179,0.538597,0.55755,0.577824,0.600008,0.625657,0.657126,0.696164,0.743328,0.797538,0.855381,0.910288,0.952777,0.974208,0.969297,0.937443,0.882866,0.813444,0.738231,0.663915,0.594395,0.53141,0.47521
0.802949,0.716392,0.634335,0.552213,0.472267,0.399933,0.340952,0.300085,0.280977,0.285374,0.315984,0.377881,0.476608,0.61025,0.756313,0.873966,0.920918,0.878618,0.765125,0.622448,0.489781,0.38478,0.309482,0.259587,0.229766,0.21572,0.214643,0.225314,0.247626,0.281903,0.327884,0.383129,0.44154,0.494862,0.53494,0.556404,0.558761,0.546809,0.528588,0.510762,0.497593,0.491371,0.492879,0.501616,0.516073,0.534972,0.55754,0.583535,0.613338,0.648108,0.689614,0.738747,0.794712,0.854305,0.911052,0.954579,0.972266,0.95656,0.908472,0.83708,0.75636,0.681264,0.623937,0.589422,0.578142,0.588116,0.614964
0.47356,0.486198,0.495002,0.493937,0.481095,0.459003,0.433776,0.413741,0.407693,0.421569,0.459689,0.525509,0.619463,0.732664,0.840066,0.909127,0.914401,0.851258,0.738795,0.608928,0.489786,0.394374,0.324669,0.277895,0.250388,0.239405,0.243743,0.263669,0.300626,0.356278,0.430289,0.516185,0.597677,0.654422,0.671256,0.646047,0.590864,0.525844,0.469859,0.432239,0.415755,0.420564,0.445696,0.488203,0.541505,0.597897,0.649952,0.692156,0.722876,0.745685,0.768442,0.797663,0.836824,0.885873,0.940183,0.989012,1.01644,1.01075,0.969522,0.900266,0.817551,0.738415,0.677413,0.640976,0.630103,0.642965,0.674947
0.577511,0.570227,0.558897,0.538339,0.50808,0.471787,0.435867,0.408023,0.39581,0.403965,0.43593,0.494823,0.581795,0.69069,0.80155,0.886115,0.918398,0.886975,0.80127,0.68639,0.569686,0.467959,0.38773,0.329498,0.291363,0.271357,0.268584,0.283233,0.316698,0.370949,0.446373,0.537237,0.626977,0.693505,0.718726,0.697754,0.64163,0.571528,0.5083,0.462636,0.437692,0.433267,0.447627,0.477131,0.515296,0.555601,0.592765,0.623836,0.64941,0.674451,0.707478,0.755358,0.821682,0.905498,0.998427,1.08066,1.12234,1.10264,1.02206,0.901848,0.773249,0.665244,0.597184,0.575163,0.601493,0.68036,0.816092
0.607622,0.532522,0.465046,0.403323,0.348183,0.301587,0.265692,0.242699,0.234984,0.244342,0.273245,0.325232,0.403001,0.50254,0.605108,0.681733,0.7063,0.670785,0.590436,0.493955,0.406991,0.340685,0.296409,0.271959,0.264793,0.273037,0.295464,0.331776,0.381845,0.444462,0.515761,0.587552,0.647202,0.682468,0.686443,0.660414,0.613343,0.558512,0.508707,0.471041,0.448091,0.440001,0.445551,0.462145,0.485701,0.512699,0.540826,0.569319,0.599467,0.635181,0.682772,0.747441,0.831639,0.933137,1.04151,1.13397,1.17777,1.15192,1.0604,0.929835,0.795844,0.689836,0.632914,0.633943,0.701943,0.854178,1.11494
