"SB_ 1951","SB_ 1952","SB_ 1953","SB_ 1954","SB_ 1955","SB_ 1956","SB_ 1957","SB_ 1958","SB_ 1959","SB_ 1960","SB_ 1961","SB_ 1962","SB_ 1963","SB_ 1964","SB_ 1965","SB_ 1966","SB_ 1967","SB_ 1968","SB_ 1969","SB_ 1970","SB_ 1971","SB_ 1972","SB_ 1973","SB_ 1974","SB_ 1975","SB_ 1976","SB_ 1977","SB_ 1978","SB_ 1979","SB_ 1980","SB_ 1981","SB_ 1982","SB_ 1983","SB_ 1984","SB_ 1985","SB_ 1986","SB_ 1987","SB_ 1988","SB_ 1989","SB_ 1990","SB_ 1991","SB_ 1992","SB_ 1993","SB_ 1994","SB_ 1995","SB_ 1996","SB_ 1997","SB_ 1998","SB_ 1999","SB_ 2000","SB_ 2001","SB_ 2002","SB_ 2003","SB_ 2004","SB_ 2005","SB_ 2006","SB_ 2007","SB_ 2008","SB_ 2009","SB_ 2010","SB_ 2011","SB_ 2012","SB_ 2013","SB_ 2014","SB_ 2015","SB_ 2016","SB_ 2017"
23.7824,9.54218,17.2197,11.2779,15.1134,14.4397,27.6513,44.2887,24.8487,10.2596,13.5668,17.1502,19.1806,17.0228,7.95528,3.6014,3.84009,6.8349,8.79355,18.1798,32.3723,47.4397,52.7499,60.6763,80.3071,62.8199,53.2995,39.5818,33.7138,38.4621,36.9444,28.5483,21.7376,26.2279,41.7365,47.3731,43.4872,53.1266,40.2881,34.455,30.4633,39.4609,38.9061,33.2922,29.7274,33.4027,37.5017,26.0332,18.2801,17.639,20.834,22.3069,19.0196,10.1593,5.53537,6.07817,5.70445,4.86818,4.75682,5.56595,6.75471,7.15584,9.2999,12.8104,16.4101,16.6828,9.50828
20.8872,13.1307,23.5978,19.3235,27.0608,33.4466,49.7129,57.3157,27.2232,11.9233,16.1661,25.0533,26.7366,29.599,18.8586,8.81027,6.07305,13.7424,17.6723,31.5995,52.3572,69.8234,78.1453,88.5989,108.284,82.2144,66.8367,50.5814,44.7617,47.1871,41.4206,29.6742,21.8203,26.225,41.4862,48.3558,51.8314,70.0113,52.93,43.169,35.3286,43.6372,42.8487,36.0169,30.9961,37.9874,45.5246,30.6622,21.0621,19.0457,19.1606,18.1211,13.8552,7.47069,3.08948,3.05604,2.99651,3.07287,3.40874,4.60331,6.30439,7.09671,10.6043,16.4873,21.5889,25.5731,19.4975
27.9846,15.525,25.9519,17.1775,23.5227,27.1658,40.4044,52.2713,25.3202,14.1976,16.9014,21.7355,20.7381,19.9988,9.68543,3.06333,3.02962,7.53722,11.3676,20.4064,36.7142,54.9017,62.9224,74.7672,92.4784,68.9533,50.7102,33.9161,27.1154,31.0663,28.7562,22.4401,16.7704,20.1177,34.8963,44.4461,44.8974,57.8543,43.5822,36.4124,31.1933,41.1925,41.3723,36.0374,32.1405,39.3784,49.3707,36.4427,26.5616,23.298,24.081,22.2925,16.5235,9.61319,4.90095,4.62309,4.208,3.88365,3.96052,4.68574,5.58183,5.65527,7.05322,10.0413,13.8242,16.7837,13.6853
25.7355,15.6136,23.2579,14.2732,19.25,20.8822,36.6245,48.7781,25.6946,11.9943,14.3144,20.197,20.8728,19.0429,9.27392,4.10468,4.931,8.17519,9.64921,18.1168,34.5646,50.127,56.2028,63.8756,79.2958,61.7198,46.9306,33.0181,26.1498,30.0134,28.2948,23.4224,18.1134,22.8151,40.2239,49.5738,47.9076,58.2395,45.7537,38.8275,34.7186,43.9615,42.117,36.213,33.183,40.8837,48.9027,35.1949,25.4994,23.765,24.921,23.1514,18.2349,10.0651,5.04101,4.71727,3.97646,3.51276,3.41702,4.51574,5.99013,5.83189,7.19482,10.6494,14.4965,16.6014,11.7193
23.3293,11.8022,18.6466,10.25,15.7075,21.7208,39.3274,55.4429,28.4219,13.0979,15.1959,21.3094,19.2907,18.5758,10.2458,4.45871,5.03269,6.30663,8.45117,18.1528,32.9519,48.6826,55.0063,65.0691,81.2851,63.9214,46.591,32.8023,26.0664,28.7978,27.3933,21.7555,16.9335,23.3185,42.8623,54.3986,56.381,72.0299,54.3821,43.7043,36.5979,44.123,39.7237,30.5042,25.6417,31.6479,38.0458,25.0916,17.1244,15.8942,18.0891,18.2768,14.7824,8.47838,4.15273,4.24432,3.97382,3.82951,4.04499,5.18961,6.6882,7.3469,9.6021,13.6625,17.1094,19.6114,15.0678
26.9746,14.4509,24.3618,18.4141,22.167,24.5472,41.1497,53.9738,32.9149,14.0937,16.9372,25.4148,25.4109,25.9302,15.7705,6.40655,2.13277,5.44453,8.78192,19.3357,37.5545,51.7245,57.1442,68.1217,87.2293,65.5165,49.3495,34.4551,25.1324,28.7353,27.1647,21.7824,16.5267,20.8707,38.0693,50.7187,52.4362,65.3907,50.0371,40.7844,33.6501,39.4962,34.6695,27.5042,24.3173,28.3267,32.2087,21.7715,14.917,14.7043,18.0698,19.5644,16.6583,9.48281,5.49677,6.17514,6.16405,5.90035,5.95445,6.40491,6.6965,5.73815,6.66586,9.78566,15.0317,21.7379,22.568
29.6361,14.7358,19.5479,11.3242,16.5962,18.7452,30.2612,47.3871,29.4287,11.5091,18.3943,19.7298,22.7503,25.1391,12.5086,4.6626,2.5527,5.4462,9.89794,21.4423,36.5112,48.3432,50.6782,59.4379,76.6134,58.1524,45.0551,31.4735,23.5272,27.7695,26.4528,22.7775,19.1072,25.2514,46.2529,59.8399,59.3107,70.3005,53.1533,42.7979,33.9106,39.5782,35.9244,28.9481,26.6789,29.6902,32.6159,23.1274,17.0347,16.3285,19.0078,20.1633,16.7824,9.4067,4.72396,5.37383,5.25715,4.6168,4.56524,5.06532,5.8433,5.96661,8.90199,13.2961,16.7282,20.7116,18.0301
29.4187,12.9674,21.9038,16.0315,23.3563,25.9908,37.8738,49.5765,27.2061,13.7165,18.5936,26.3815,28.8696,25.7816,11.1481,4.06049,3.6559,7.55281,10.2456,22.3062,38.5668,52.1552,57.4244,67.177,82.1765,64.084,52.6228,41.1865,36.4773,41.9992,39.5253,31.3713,24.3412,29.211,43.9811,49.7763,46.6405,57.2991,44.5502,38.3892,34.0908,45.4786,44.9871,38.0943,33.0864,37.925,41.5942,26.4566,17.1425,15.3396,17.1117,17.7088,14.3865,8.16694,4.25062,4.60765,4.50883,4.65653,5.02283,5.8818,6.85194,6.69664,7.98569,10.3212,14.5646,19.5484,16.1487
37.745,18.438,24.898,19.6681,28.6308,31.8513,47.7305,54.9204,29.052,11.618,15.9475,21.6682,23.8024,21.6781,10.0579,2.70143,7.91613,17.4019,17.882,31.2843,51.3486,63.4926,65.894,72.2366,88.5725,67.4106,55.7162,44.2968,35.7788,40.2775,39.6142,30.4283,22.4172,28.2338,45.6373,50.1088,47.5848,59.661,44.6023,36.8076,30.8223,39.2147,38.2144,31.7181,28.4521,34.6632,40.5666,27.4121,19.3113,18.4164,20.1078,21.7719,19.6054,11.4857,6.64559,6.6251,5.6511,4.24286,3.6631,4.236,5.17123,5.21934,6.68958,9.94495,15.4858,19.4708,13.8325
34.046,12.9293,17.8232,11.5987,15.5398,15.0058,30.4654,45.0433,22.7462,12.6431,14.6316,19.4656,21.7159,25.14,15.0478,5.66927,2.20793,6.44278,10.4515,19.9401,35.5764,53.9849,67.2206,76.8666,93.7828,74.592,60.2797,48.5224,42.41,47.4465,45.7791,34.8071,26.8358,30.8358,44.01,47.7775,44.7372,56.9199,41.4023,33.9793,28.875,35.6375,34.3141,28.7195,26.1516,32.3516,39.2758,28.0018,20.5672,20.0191,23.4084,23.2912,18.9739,11.7934,6.69667,7.08271,6.11189,4.74048,4.46389,4.80039,5.24634,5.63385,8.01227,12.0723,16.5672,17.3104,9.81032
