"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
946.411,463.917,1122.45,618.201,1621.32,1401.14,1340.4,1134.58,1327.14,757.843,1469.23,1028.83,1090.15,509.136,406.529,826.834,197.822,452.888,1721.25,2240.15,2266.46,2158.03,2995.83,4314.93,1474.93,1247.37,1956.97,488.219,1096.68,936.796,474.835,384.287,474.482,1107.57,1606.14,626.536,2693.73,588.837,606.369,536.385,903.291,492.404,390.09,178.813,234.585,830.254,247.6,105.757,86.1641,181.9,215.333,287.753,87.6406,98.4073,61.2226,136.924,48.5213,178.874,142.629,427.374,142.64,183.628,499.272,421.636,1327.73,311.129,251.037,517.097
958.996,595.098,1901.95,835.342,1552.66,1792.65,926.537,2265.91,1130.35,904.98,1411.12,930.848,1144.79,517.408,288.92,1018.04,581.974,502.131,1581.23,3109.59,3179.33,2488.77,3515.7,4252.63,2206.18,1313.78,2524.8,656.051,1537.67,876.671,655.245,540.817,862.141,1550.32,2020.43,810.403,2820.53,665.608,679.764,474.401,1098.36,557.002,490.929,206.516,279.953,894.942,256.416,170.235,125.562,223.775,244.659,261.422,87.5237,110.583,45.4802,142.091,53.1099,146.186,160.819,325.201,106.186,168.517,628.421,345.749,1066.38,409.296,300.933,439.018
1102.24,558.258,1987.04,883.611,1387.41,2278,1423.51,1483.12,1091.36,797.969,1751.1,1151.64,1079.66,613.771,641.238,377.652,800.66,762.272,1795.77,2398.7,3005.68,2720,3288.47,4777.48,2053.68,1490.78,2270.08,615.321,1482.85,685.102,450.778,392.886,576.003,1480.28,1836.82,664.716,2600.96,647.258,585.197,415.032,1019.28,573.429,461.695,231.939,278.326,888.628,286.392,133.393,119.618,209.864,215.924,271.562,103.454,105.721,80.173,123.382,51.2914,169.145,144.627,326.33,142.56,156.732,473.145,507.345,1696.78,282.115,666.766,735.18
618.882,359.896,1654.76,731.516,1063.07,1464.28,1554.79,1600.24,1071.03,983.301,1451.88,794.749,1096.97,501.052,203.49,1060.91,283.006,636.042,1723.91,3582.58,2531.48,2978.56,3100.61,3795.79,1511.33,1579.71,1712.7,678.876,1230.77,707.704,430.25,294.897,692.067,1451.85,1528.09,621.068,2269.5,643.908,589.902,462.803,1026.25,464.83,409.96,247.347,231.431,774.381,260.758,127.958,78.5932,156.191,208.924,219.101,99.879,109.223,63.4718,152.82,57.1062,178.108,124.56,417.784,138.977,195.206,531.564,531.001,1530.35,411.465,646.301,315.797
1003.44,362.048,1761.16,706.689,1519.55,1627.9,1069.87,1685.49,1138.99,816.712,1893.67,687.508,887.434,504.273,346.35,685.337,104.223,646.615,1535.86,2386.78,2644.92,2822.51,2933.7,3704.31,1979.81,1199.93,1690.62,532.545,1099.99,850.41,511.904,341.743,552.208,1315.14,1622,572.484,2075.26,484.233,577.161,367.961,825.643,414.37,325.642,153.738,227.199,899.549,234.067,116.244,101.699,176.252,237.162,254.75,78.2571,96.0356,69.3001,123.347,46.3127,177.133,123.397,358.043,149.004,199.63,671.716,457.018,1689.54,348.733,394.062,584.458
663.171,333.571,1384.46,598.924,1149.04,1720.09,955.328,2012.76,1362.39,610.817,1616.3,823.581,827.896,535.842,436.256,700.595,138.523,467.191,1418.82,2640.36,2178.21,2102.6,2940.95,4075.69,1624.04,1127.29,1841.51,435.423,1289.49,627.724,476.674,330.387,595.347,1066.76,1307.47,572.715,2361.01,640.999,499.028,394.682,939.816,560.139,440.287,174.641,241.39,833.793,256.865,117.884,105.77,175.115,252.831,205.374,84.8622,93.6215,41.8859,133.004,42.1724,173.665,127.13,375.914,116.082,181.73,713.832,630.131,2033.69,366.9,476.478,742.651
788.456,537.566,1103.56,889.059,1023.11,1640.43,826.627,1782.57,958.605,594.981,1763.69,767.644,850.081,518.081,315.216,698.739,149.345,677.307,1439.7,1822.1,1488.49,1912.44,2390.3,3634.93,1563.22,1126.01,1569.14,424.13,1154.06,577.535,348.76,273.603,470.33,1089.8,1293.96,495.1,2105.06,546.086,548.496,345.21,800.319,487.309,442.705,196.756,193.979,763.886,246.917,126.814,80.4787,153.539,255.772,215.147,82.8234,99.0372,54.5127,129.759,54.938,137.314,125.622,392.783,149.532,169.081,702.432,628.124,1623.85,454.512,467.82,542.551
686.252,597.384,1541.5,877.598,1812.08,1766.01,1618.93,1591.41,1286.92,967.091,1782.37,990.325,1156.33,670.54,444.41,619.046,310.987,771.619,1672.3,2558.23,2649.72,2996.51,3903.88,5091.95,1890.25,1710.06,2584.67,713.116,1880.07,931.8,739.501,525.997,860.962,1804.48,2128.36,721.493,2893.26,698.204,813.696,564.249,1042.88,541.194,439.255,271.059,282.596,931.108,268.771,117.3,114.957,173.556,303.4,280.843,104.884,120.828,70.5815,137.463,55.4521,196.191,98.3835,314.115,109.376,149.184,429.307,373.299,1078.32,334.487,530.453,697.381
908.986,318.758,1665.2,1040.16,1224.98,1708.36,1040.29,2300.32,1130.29,657.99,1360.33,846.778,1224.83,491.38,393.209,481.1,313.68,524.982,1316.2,2320.22,2162.29,2371.56,3429.69,4449.53,1729.09,1317.22,1770.13,641.673,1086.9,752.411,524.273,413.537,581.048,1451.62,1418.31,668.235,2781.61,646.396,581.21,473.739,968.153,591.445,400.77,205.032,273.507,859.323,330.687,153.15,121.63,186.703,214.681,278.296,99.9044,112.718,67.2817,118.93,48.184,170.655,86.3808,289.743,111.033,168.68,607.167,375.087,1265.5,400.914,510.289,411.925
689.021,442.371,1807.73,607.982,1227.84,2405.66,1485.77,1663.76,889.253,829.418,1715.15,732.566,859.869,545.723,259.323,660.768,372.905,381.388,1395.48,2325.25,2238.51,2682.62,3230.99,3610.07,1608.5,1132.16,1704.83,513.684,1184.26,690.834,469.743,376.863,451.961,1279.05,1384.87,522.257,2166.68,578.327,572.694,377.367,751.48,429.114,318.452,203.709,223.326,767.016,251.391,124.053,78.0801,182.851,241.65,245.517,97.6548,87.7218,61.451,121.823,53.7307,172.809,141.454,550.603,211.44,251.663,746.959,706.338,2196.5,427.305,549.126,532.306
833.626,383.789,1518.52,932.634,1076.41,1411.57,1025.41,1892.52,1218.15,702.698,1770.53,785.149,845.928,472.303,276.767,356.547,681.983,389.649,1481.67,2507.32,2083.54,2094.87,2952.9,3912.21,1749.31,1167.97,1767.83,580.713,1214.67,733.691,456.529,396.282,510.795,1084.46,1493.36,514.981,2386.5,599.917,580.703,366.718,776.254,492.243,361.612,167.012,202.952,786.932,261.119,103.898,98.305,174.227,174.355,243.95,85.589,109.745,52.6204,131.757,56.3335,164.763,147.044,412.53,160.514,199.737,619.729,426.034,1867.69,389.882,401.485,451.892
