B0 MSY Fmsy Bmsy BT projSpawnBio projExpBio depB0 depBmsy
82.544 3.05072 0.0739175 41.272 0.330092 0.307283 0.307283 0.00404387 0.00808773
82.4727 3.03116 0.0735071 41.2363 0.330804 0.307335 0.307335 0.00404159 0.00808318
87.7082 3.04917 0.06953 43.8541 6.7055 5.93365 5.93365 0.0577249 0.11545
86.129 3.00048 0.0696742 43.0645 16.7975 17.0487 17.0487 0.173721 0.347443
87.856 3.00925 0.0685041 43.928 18.9654 19.3699 19.3699 0.220321 0.440642
87.3943 2.99582 0.0685587 43.6971 0.320673 0.305947 0.305947 0.0029912 0.00598241
85.7845 2.90819 0.0678022 42.8923 0.320914 0.305927 0.305927 0.0038028 0.00760559
86.2961 2.94976 0.0683638 43.148 1.97976 0.720056 0.720056 0.00820254 0.0164051
84.2522 2.92617 0.0694623 42.1261 0.319522 0.305878 0.305878 0.00342705 0.00685411
85.2398 3.04994 0.0715614 42.6199 24.483 25.3476 25.3476 0.29665 0.593299
85.5648 3.03356 0.0709068 42.7824 31.3702 32.5549 32.5549 0.368629 0.737258
85.5372 2.98081 0.0696961 42.7686 29.7035 30.7731 30.7731 0.366645 0.733291
84.6344 2.97824 0.0703789 42.3172 21.0696 21.664 21.664 0.257251 0.514501
82.5179 2.97272 0.0720502 41.259 0.500873 0.326753 0.326753 0.00397903 0.00795805
83.9951 2.96095 0.0705029 41.9976 0.323645 0.30638 0.30638 0.00349871 0.00699741
84.8596 2.9699 0.0699957 42.4298 6.67882 5.90719 5.90719 0.0682575 0.136515
86.0515 2.9881 0.0694491 43.0257 25.1411 25.9799 25.9799 0.295803 0.591606
89.788 3.04752 0.0678825 44.894 28.4018 29.405 29.405 0.369609 0.739218
91.221 3.04286 0.0667141 45.6105 30.729 31.8149 31.8149 0.35494 0.70988
89.1827 3.04668 0.0683244 44.5914 27.2355 28.1876 28.1876 0.335163 0.670326
89.0872 3.03226 0.068074 44.5436 14.7984 14.8455 14.8455 0.176871 0.353742
88.6409 3.00719 0.0678511 44.3205 14.8082 14.849 14.849 0.177093 0.354186
87.1322 2.96939 0.0681583 43.5661 0.318756 0.305719 0.305719 0.0031619 0.0063238
85.8407 2.93756 0.0684422 42.9203 0.316276 0.305473 0.305473 0.00377019 0.00754039
82.5645 2.91985 0.0707289 41.2822 0.316595 0.305641 0.305641 0.00347829 0.00695657
85.4749 2.93677 0.0687164 42.7375 0.43742 0.318898 0.318898 0.00376202 0.00752403
82.3065 2.80332 0.0681191 41.1532 0.319135 0.305756 0.305756 0.00339774 0.00679549
83.4095 2.79699 0.0670665 41.7048 0.31971 0.305755 0.305755 0.00383188 0.00766376
79.7959 2.79863 0.0701448 39.898 0.319952 0.305963 0.305963 0.00400469 0.00800939
78.5282 2.7618 0.070339 39.2641 0.323962 0.306403 0.306403 0.00415413 0.00830826
79.4654 2.68808 0.0676542 39.7327 0.323514 0.306193 0.306193 0.0037589 0.00751781
77.9547 2.80178 0.0718822 38.9773 0.322902 0.306383 0.306383 0.00412499 0.00824997
78.7631 2.79059 0.0708603 39.3815 0.323582 0.306394 0.306394 0.00361292 0.00722583
79.4839 2.8766 0.072382 39.742 0.322929 0.306416 0.306416 0.00432452 0.00864905
80.0455 2.91645 0.0728698 40.0228 0.322576 0.306408 0.306408 0.00368859 0.00737717
80.4969 3.01541 0.0749198 40.2485 24.1053 25.0026 25.0026 0.322113 0.644227
79.6801 3.0471 0.0764835 39.84 24.7727 25.751 25.751 0.318214 0.636428
80.3779 3.09209 0.0769388 40.1889 26.0584 27.1352 27.1352 0.327379 0.654757
84.6412 3.08009 0.07278 42.3206 25.6287 26.5966 26.5966 0.316235 0.63247
85.0948 3.03169 0.0712545 42.5474 27.1922 28.196 28.196 0.32106 0.642119
87.6316 3.08987 0.0705196 43.8158 34.5056 35.8229 35.8229 0.384633 0.769267
87.6104 3.03689 0.0693271 43.8052 34.4063 35.6703 35.6703 0.433087 0.866173
